"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,3.24,27.290001,2.6099999,1.78,4.7600002,12.07,0.82999998,0.38,83.230003,0.003734,0,3.4400001,5.9699998,1.88,194.72,12.42,10.94,76.68,14.11,1.16,1.61,97.309998,11.59,21.67,0.059999999,1.37,0.000050999999,4.7199998,3.72,0.25999999,0,0,1.85,19.32,0,19.299999,0
"Haiti",5.9499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.1800001,0,0,0,0,0,0,0.15000001,0,0,0,0,0,0,0,6.4200001,0,0,0,0,0,0,0.76999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",4.7800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",1.0700001,0,0,0,0,0.029999999,0,0,0.36000001,0,0,0,0.17,0,0,1.3099999,0,0,1.27,0,0.12,0,0.74000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",1.05,0,0,0,0,0,0,0.13,0,0,0,0,0.88,0,0,5.0100002,0,0,1.25,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",14.12,0,0,0,0,0,0,0,0,0,0,0,0,3.46,4.79,41.209999,0,4.48,0,0,0,4.1300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0.0063800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
