"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,71510.297,450.29999,0,410.10001,1216.8,422.5,859.09998,60.900002,1.9291967,1.497,0,7.9325924,0,0,20519.9,44.599998,541.90002,564.79999,300.10001,1.4,750,402.20001,2414.3999,5881.1001,66.300003,56.799999,1390.3,814.59998,8432.5996,113.3,23.799999,1104.7,1175.6,369,17997.6,1155,4235.7002,4140.1411,219.2587,11176.5,4362.7002,3101.3999,713,0,96.400002,329.60001,979,305.39999,86.099998,11698.1,49.299999,2.4000001,870.90002,529.20001,15.8,47.200001,781.5,469.70001,1085.4,4981.2002,1514.3,1881.8,299.89999,0,0,0,0,0.30000001,0.037,7.4000001,15.8,19.9,7.5,404.39999,120.8,0.2,100.7,21.1,259.39999,25.799999,443,3766.8,379.39999,4.9000001,0,456.60001,319.89999,85.5,85,14.4,4.9000001,11.6,4,0,77.900002,1372,30.200001,51.299999,74.5,27.200001,1399.1,0,7,10.9,73.099998,6.0999999,153.8,14.2,54.200001,2144.2,72.699997,0.0080000004,23.200001,1751.5,897.09998,525.59998,498.29999,66.599998,34.299999,11.6,2724.3,4886.6001,4.5,1.4,568.40002,69.900002,4,723.40002,229.89999,6,6910.3999,1.4,26406.4,0,17990.9,88073.898,2725.3999,0,438.20001,419.29999,12.7,463.79999,10.824,37.700001,2387.2,0.2,1,0,3053.3,6395.1001,16.5,2481,3719,3287.1001,23.4,1180.5,0.1,4.6420002,17.92001,2
"Canada",65590.797,0,34.900002,41,7.1999998,24.4,94.599998,30.700001,17.5,0.49471554,1.027,0,0.26814815,0,0,973.90002,3.9000001,27.299999,13.8,35.799999,23.799999,52.200001,25.4,110.7,454.10001,28,2.9000001,79.400002,61,705.79999,2.9000001,0.60000002,127.3,92.400002,113.8,3599.8999,157.89999,622.79999,488.14801,25.85195,1235.1,503,402.5,73.900002,0,27.799999,57,205.60001,39.200001,52.799999,1406.1,0.89999998,0,58.799999,52.799999,1.4,7.8000002,47.200001,28.6,238.8,733.5,214.2,206.3,6.9000001,0,0,0,0,0.1,0.0099999998,0.81188434,0.04658353,0.51800001,0.013309529,11,16.200001,1.0015459,1.6,8.3000002,5.0999999,11.7,0.89999998,198.5,4.8000002,0,0,0.0003327395,25.4,1.5,10.4,1.8,0,0.389,0,0,1.6,101.9,1.2,0.091601692,10.1,0.69999999,129.2,0,0,0,0.28712699,0,22.9,0,24.299999,18.5,1.8,0,1.2,91.300003,65.099998,67.099998,28.299999,0.30000001,1.4,0.5,96.800003,143.7,0,0.69999999,0.40000001,1.2,0.2,40.700001,41.200001,0,639.40002,0,1678.2,1.3,1529.8,6314.2002,141.3,0,51.099998,19.1,0.60000002,28.4,1.226,0.60000002,166.7,0,0,6.4000001,154.8,217.5,0.0037964771,88.900002,139.39999,465.20001,9.3999996,167.10001,0,0,5.4000001,0
"Bahamas",976.51898,31.427999,0,0.097999997,0.057,0.315,0.99699998,1.628,0.59399998,0.014035556,0.0049999999,0.0049999999,0,0.014,0,99.685997,0.0060000001,1.867,0,0.017000001,0,0.056000002,9.802,29.368,3.549,0.046182498,0,0.13,0.075999998,3.5599999,0.001,0.024,0.0040000002,3.0020001,0.11,113.964,11.792,5.3200002,0.53183448,0.028165599,18.056999,11.09,5.0050001,0.068000004,0,0,0.111,0.634,0.192,0.012,5.1090002,0,0,0.013,0.375,0.003,0,0,0.018999999,0.0040000002,3.171,0.011,2.3900001,0.035,0,0,0,0,0,0,0,0,0,0,17.427999,0,0,0,0,0,0,0,492.19601,0,0,0,0,0,0,0,0,0,0,0,0,0,102.445,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,2.1070001,0.0099999998,18.846001,0,71.112999,0.0040000002,0.0060000001,0.012,9.2349997,0.022,0,0.052999999,772.23602,0,0,0,0,0,0,0,0,0.32600001,0,1.617,0.037999999,4.2399998,28.552,0.13699999,0,0.039000001,0,0,0.0049999999,0,0,0.141,0,0,0,0.109,0.104,0,0.15800001,157.026,0.30500001,0,0.73900002,0,0,0,0
"Cuba",1.4299999,225.5,0,0,0,0,0.2024,4.7080002,0,0,0,0,0,0,0,86.340103,0,0,0,0,26.855858,0.0011,1.3573999,1.034,0,1.8453372,0,0,3.5639999,3.3110001,0,0,0,147.015,4.4308,74.25,0.022,42.68,9.4020729,0.49792659,60.169998,43.009998,212.00301,1.2539999,0,328.22791,39.969601,10.78,53.085999,147.32753,70.18,0,0,26.719,0,0,0,155.42999,0,2.618,17.82,0.83600003,8.2939997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8016214,0,0,0,0,0,0,0.12371254,0,0,0,0,0,0,0,0,0.0352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2069998,0,0,0,0.97899997,0,0,0,0,0,0,0.015567423,0,0,0,0,0,0,0,0,87.339996,0,0,0,0,127.05,2.953362,0,0,0,0,0.061519884,0,0,8.25,0,0,10.667,0.055,1.353,0,0,0,2.5190001,0,0,0,0,0,0
"Haiti",256.03357,19.522326,1.3832754,0.000027399999,0,10.031175,1.5182343,1.309346,0.62662959,0.00070839998,0.0023902,0.0532852,0.32682821,0.0012814,0,4.6235318,0.050999999,0.95260942,0.1548938,0.27709001,0,2.8313344,0.00069000002,4.3043709,2.7124965,0.0042498,0.025655599,0.032908998,0.00056219997,9.2412672,0.0296722,0,0.71778941,1.334324,0.0040000002,13.738059,0.017710401,22.735641,3.7133441,0.1966559,21.33573,5.2595096,3.1700001,5.5333238,0,0,0.192928,0.3120788,0.1781684,1.7066232,4.1219454,0,0,0,0.17791539,0.0060000001,0,0.1,0,0.61846739,1.4532152,4.1564913,3.1463974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036539999,0,0,0.00086039997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045670001,0,0,0,0,0,0,0,0,0,0.000049400001,0,0,0,0,0,0,0.0012426,0.0001776,0,0.087744199,0.023957601,0,0,0.0029458001,0,0,0,0,0,11.407751,0,0,0,8.774435,56.721489,0,0,0,0.039999999,0,0,0,0,0.1246562,0,0,0,0,0.70319039,0,0.0099999998,0,0.0216802,0,1.0709572,0,0,0,0
"Dominican Republic",710.85577,30.660957,0.034334779,0,2.5407736,0,1.8884128,3.4334779,0.089000002,0,0,0,0,0,0,142.23755,0.034334779,7.1072993,2.9184561,2.2775402,0.09155941,3.6967111,30.866966,9.3505049,200.69823,0.12589419,0.14878404,0.09155941,0.32045794,29.573689,0.048,1.1216028,5.138772,7.4964266,0.34334779,17.957088,1.3733912,15.977117,14.71092,0.77907908,19.010023,6.0658107,32.766823,0.45779705,0,4.6580849,0.022889853,0.67525065,0.045779705,0.18311882,35.879845,0.17167389,0,0.057224631,0.17167389,0,0,0.034334779,0.045779705,0.62947094,2.0486417,5.7911325,1.4306158,0.32045794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,3.8111603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057224631,0.16022897,0,0,0,0,1.5107303,0,0,0,0,0,0,0,0,0,0.50357676,0,23.484989,0.90414917,8.2289019,248.229,0.27467823,0,0.068669558,0.029999999,0,0,0,0,1.0185984,0,0,0,0.022889853,0.4806869,0,0.057224631,0.13733912,2.2317605,0,10.311878,0,0,0,0
"Jamaica",609.60498,69.216003,0.0049999999,0,0.25099999,1.207,0,37.896999,3.464,4.8889999,0,2.325,1.084,0.024,0,56.263,3.698,3.3840001,1.473,0.025,0.029999999,2.7909999,0.88099998,1.273,48.978001,5.5840001,0.044,14.61,0.082000002,21.753,0.0049999999,0,0.14399999,3.2249999,0,84.709999,1.137,13.964,5.0429301,0.2670697,8.665,7.1960001,2.237,0.17299999,0,0.70200002,0.96799999,10.165,0.472,0.324,8.5200005,0.0020000001,0,0.035999998,0.57999998,0,0,0.039999999,7.5819998,4.8330002,6.381,0.722,2.2609999,0,0,0,0,0,0,0,0.0020000001,0,0,0,0.177,0,0,0.028000001,0,0.00018863834,0,0.38299999,6.9879999,0,0,0,0,0.0080000004,0,0.086999997,0,0,0,0.0080000004,0,0.0049999999,0,0.0040000002,0,0,0,0,0,0,0.001,0,0,0.25299999,0,0.082999997,0.003,0,0,0.061999999,0,0.255,0,0,0.001,0,0,1.102,0.112,0,0,0,0,0,0,0,0,2.911,0,17.587999,0.40400001,10.773,50.574001,0.45699999,0,0.145,0.118,0.02,0.17299999,0,0,2.6159999,0,0,0,0.81,1.397,0.0049999999,0.153,0.68300003,0.94199997,0,8.5439997,0,0,0,0
"Trinidad and Tobago",508.10999,81.040001,3.24,0,0.079999998,1.48,20.309999,0,9.7299995,0.039999999,1.05,0.07,0.27000001,0,0.090000004,4.54,6.73,3.0799999,5.5100002,0.15000001,0,0.52999997,0.56999999,26.360001,16.83,2.75,0.94509804,0.25,0.63999999,38.139999,0,0,0.16,6.5,0,110.43,8.6400003,26.26,8.8417482,0.46825221,12.55,5.8600001,3.5799999,1.22,0,0.02,0.050000001,4.98,0.0099999998,0.38999999,11.47,0.039999999,0,0.050000001,0.23999999,0,0,0,0.14,1.2,7.9000001,6.2600002,6.5300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0.0099999998,0,0,0,0,0.050000001,0.0099999998,0,0.0099999998,0,0,0,0.039999999,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,1.55,0,0.0099999998,0.029999999,0,0,0.81,0,0.0099999998,0,0,0,0.43000001,6.4400001,0,0,0,0,0,0,0,0,6.1199999,0,24.17,0.25999999,12.66,64.120003,2.8199999,0,0.059999999,0.13,0,0.090000004,0,0,0.44,0,0,0,0.56999999,3.51,0,0.83999997,0.33000001,14.36,0.02,11.11,0,0,0.0099999998,0
"Barbados",171.543,40.414001,0.018999999,0.192,0.176,0.83200002,13.242,48.573002,0,0.958,0.43399999,3.6489999,1.095,0,0,1.645,0.76200002,0.64099997,4.5630002,0.001,0,0.486,0.057999998,1.021,18.132999,2.4690001,0.0040000002,0.028000001,0.30199999,10.282,0,0,0.838,1.265,0.22499999,59.929001,5.2880001,6.618,3.001066,0.15893421,7.1490002,3.5739999,2.395,0.44100001,0,0.15700001,0.11,0.67799997,0.17,0.233,4.2859998,0.003,0,0.093999997,0.20900001,0.017999999,0,0.16599999,0.086000003,1.557,1.393,1.9119999,2.0550001,0.043000001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030999999,0,0.025,0.02,0,0,0,0,0,0,0,0,0,0.018999999,0,0,0,0,0.0049999999,0,0,0,0,0,0,0,0.0021369525,0,0.061999999,0,0,0,0.001,0.0080000004,0.221,0.027000001,0,0,0,0,0,0.016000001,0,0,2.119,0,10.109,0,8.4680004,27.084999,0.64300001,0,0.027000001,0.19,0,0.271,0,0.001,1.048,0,0,0,0.322,1.688,0,0.324,0.28999999,3.1960001,0,8.4309998,0,0,0,0
"Dominica",15.481253,2.0993888,0.014592222,0.00025925925,0.00092666666,0.85535002,1.587144,5.8469157,2.3327289,0,0.77050591,6.8172069,1.5547897,0.54671073,0.11145148,0.13309297,0,0.017993333,0.047565926,0,0,0.30613631,0.033011854,0.061343703,0.41828555,0.50103813,0,0.013304074,0,0.44355148,0,0,0.0033425926,0.036750741,0.041935924,11.663885,0.019791853,1.374377,0.2564202,0.0135798,1.067127,0.54952335,0.0782637,0.017248148,0,0.00015185185,0.0057685184,0.003054074,0.004345926,0.035074815,0.17955592,0.0020125925,0,0.0030829629,0.0012588889,0,0,0.005732222,0.03571,0.046657778,0.12416889,0.10703518,0.37298888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000031851851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011833333,0,0,0,0.017113704,0,0,0,0,0.00087518519,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0.011,0,0,0,0.000011111111,0.00096925924,0,0,0,0,0,0,0,0,0.9892363,0,0.80167186,0.0088851852,0.46588555,3.3003886,0.015977778,0,0.00050777779,0.0042825928,0,0,0,0,0.14464037,0,0,0,0.00077888888,0.070950001,0,0.00021037037,0,0.0097274072,0,0.019616667,0,0,0,0
