"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Czechoslovakia",22.48,0,0,0,0.41999999,0,0,0,0,0,0,0.1,0.079999998,0,0.25,6.0999999,0,0,2.9000001,7.27,0.37,17.83,0.0099999998,4.3699999,5.7199998,0,21.02,9.6700001,2.4400001,0.62,95.830002,32.439999,33.299999,30.440001,0,9.9799995,0.0066049998,17.280001,4.1799998,2.8499999,14.26,1.13,0.059999999,0.039999999,0.64999998,0.02,6.5100002,0.98000002,0.41,0,0.059999999,0,0.050000001,4.02,0,0,1.1799999,0,0.94999999,0,0.0030799999,0,0.43000001
"Italy",0,12.78,0.44999999,0.23999999,0,0,0.003,0,0.27000001,0.0089999996,0.0020000001,0.11,0,1.15,0.1,0,0.006819,0.20999999,3.98,30,4.5700002,51,0,10.83,0,0,84.209999,23.16,18.08,1.08,108.14,7.3000002,23.870001,10.11,13.06,0,1.05,37.860001,13.59,4.75,0,19.33,0,0,0.02,0,5.4499998,4.1599998,2.6500001,0,0,4.23,1.04,0,0,0,0,0,5.5300002,0,0,26.83,0
"Albania",0.1,0.00023999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001738,0,0.73000002,0,0.001408,0,0,0.0018429999,0,0,0,0.050000001,0.001755,0.0099999998,0,0.07,3.21,0,0.0024069999,0.58999997,0.000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0
"Yugoslavia",5.4499998,0.20999999,0,0,0.0099999998,0.000176,0.000106,0.00032200001,0,0,0,0.0099999998,0.00091800001,0.00035300001,0.00028899999,3.3,0.000067000001,0.000004,0.02,0.51999998,0.050000001,7.7399998,0,1.14,0,0,6.23,1.54,0.14,0.059999999,16.200001,1.5599999,21.59,8.29,28.5,18.6,0.02,0,2.5999999,0.11,5.8600001,0.16,0.00077599997,0.000018000001,0.00052,0.001867,0.22,0.20999999,0.12,0,0.000535,0,0.000018999999,0.69999999,0,0,0.0099999998,0,0.0056659998,0,0,0.02,0
"Greece",20.42,3.71,0.000818,0.00032699999,0,0,0,0,0,0,0,0.000126,0.02,0.0027419999,0.002201,1.09,0.00049100001,0,0.005837,0.14,0.0072829998,82.660004,0,2.9300001,4.3299999,0,10.58,1.01,0.23,0.43000001,9.5200005,0.16,0.93000001,0.76999998,5.8800001,9.3000002,0.75,10.2,0,6.3099999,11.09,3.2,0,0,0,0.0051569999,0.87,0.25,0.029999999,0,0.090000004,0,0.0073210001,3.1900001,0,0,0.029999999,0,0.28999999,0,0,0.75,0.000642
"Bulgaria",0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,1.09,1.53,0,3.3599999,0.57999998,0,0,9.5799999,0.090000004,3.78,1.26,5.23,6.0500002,0,0.27000001,0.63999999,0,4.0999999,0.19,0,0,0,0,0,0.059999999,0.11,0,0,0,0,0.91000003,0,0,0,0,0,0,0,0,0
"Romania",0,0,0.00048700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,15.22,0,0,0,39.880001,8.0299997,15.29,6.0100002,24.690001,0,0,0.5,1.3200001,0.5,0,0,0,0,0,0,0,0.15000001,0.12,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0
"Russia",74.790001,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,51.900002,0,2.5899999,0.079999998,0,11.39,0.12,0,0,82.949997,6.8299999,10.23,0.14,5.8600001,1.6900001,0,0.0051500001,0.039999999,0.0022189999,0,0,1.9,0.81999999,0.20999999,9.1800003,6.0500002,1.5599999,3.1726806,0.13,0,0,20.98,5.5300002,0,2.1300001,15.37,0,1.76,0,0,8.0100002,0
"Estonia",0.81999999,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035700001,0,0,0,0.0020059999,0,3.1099999,0,0.50999999,0.44,0,0.029999999,0,0,0,7.48,0.18000001,0.029999999,0,0.44,0,0,0.000002,0,0,0,1.91,0,0.82999998,0.039999999,0.81999999,1.1900001,0.0099999998,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",1.9400001,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001298,0,4.9499998,0.00073099998,1.65,1.1900001,0,1.14,0,0,0,20.059999,3.1600001,0.050000001,0,2.1400001,0,0,0,0,0,0,29.48,1.6,0,1.72,0.0099999998,1.9,0.02,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
