"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Japan","Nepal","Thailand","Australia","New Zealand"
"Bulgaria",0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0.09,19.05,0,1.59,0.07,0,0,2.79,0,1.36,0,2.13,5.56,0,0,1.86,0,0.2,0.37,0,0,0,0,0,0.0006,0,0,0,0,0,5.37,0,0,0,0,0,0,0
"Romania",7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,4.07,3.51,0,19.89,3.67,6.23,0,1.8,0.78,10.03,0.49,4.92,11.59,0,0,1.53,0.2,0,0.03,0,0,0,0,0,0.0215,0,0,0,0,0,5.67,0,0,0,0,0,0,0
"Russia",13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.22,0.96,1.24,0,0.2959,1.09,9.21,0.0073,0.89,0,0,0,0.18,0.13,0,0,1.21,0.37,0.03,0,0,0.0008,0,0,4.13,0.47,0.48,0,0,0,0.95,0,0,3.88,1.88,0,0,0,0
"Estonia",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0.03,0.28,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",6.82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,2.04,12.36,0,4.25,0.01,0,0,71.18,9.22,0,0,9.0019,0,0,0,0,0,0,0.0008,9.66,0,0.15,12.57,40.63,0.1265,85.31,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",23.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,2.95,0,9.86,7.54,8.75,0,7.75,0,9.84,0,18.27,0,0,0,0,0,0,0,0,0,0,0,0.03,12.57,0,0,7.22,1.7,1.44,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",128.07,0,0,0,0,0,0.7125,0,0,0,0,0,0.16,0,5.36,0,0,0,20.59,0,58.76,12.8514,8.46,0,21.7482,5.42,0.47,1.52,69.54,0.08,1.05,0,0.75,1.78,0,0.0083,0.05,0,0,4.13,0.28,40.63,0,7.22,0,13.84,32.65,0,0,9.17,0,0,0,0,5.78,0,0,10.38,0
"Norway",92.67,8.91,0.5,0.0208,0,0,0.797,0,0.0004,0,0,0,0,0,1.07,0,0,6.205,14.49,0.0052,56.2702,9.48,2.44,0,2.8395,3.65,3.73,1.88,19.14,0.1867,0.57,0.0007,0.83,1.1129,9,0.0295,0.14,0.0006,0.0215,0.47,0.04,0.1265,0.02,1.7,13.84,0,20.17,0,0,9,0,0.02,0,0.6,0.93,0,0.0029,3.51,0.04
"Denmark",98.32,0,0.13,0.034,0.0031,0,0.067,0,0.01,0,0,0.11,0,0.0037,4.81,0,0,2.85,20.57,0,3.61,17.62,11.37,0,8.04,9.4,2.29,1.63,40.92,0.03,0,0,0.51,1.29,0,0,0,0,0,0.48,0,85.31,0,1.44,32.65,20.17,0,0,0,0,0,0,0,13.16,0.57,0,0.26,9.07,0
