"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,9574.2998,0,28.200001,166.10001,147,229,7.0999999,967,75,95,47,53,94,83,280,1029.3,36,96,363.10001,712,34,14,219,202.89999,23,2191.5,115.1,481,779.40277,36.597179,896,466,330,97,0,7,103,102,4,25,1171,2,0,109,67,1,4,6,62,109,415,165,234,25,0,0.001,0,0.5,4.829,0.057999998,0.122,84,5,0,54,9,83,0,25,39,15,14,0,1.191,44,55,21,26,21,0,1,49,37,2,2,273,0,0,0,40,4,12,6,4,96,8,89,105,3,35,3,12,0,125,62,0,0.25999999,42,12,0,3,287,0,212,4318.5,331,68,1,33,0,2,86,2,0.052000001,2,0,255,31,464,186,519.59998,198
"Canada",9218.0996,0,5.1999998,1.2,1.1,34.5,20.200001,1.5,53.099998,3.2,10.7,3.4000001,2.2,9.8999996,12.8,12.4,364.20001,29.9,8.6999998,3.3,39.400002,0.1,0.40000001,2.0999999,5.5,0.60000002,708.29999,9.8999996,70.300003,55.876301,2.6236939,123.8,65.5,26.1,12.5,0,3,13.6,29.200001,8,27.799999,116.5,0.69999999,0,4.6999998,3.4000001,0.30000001,1.7,2,22.1,4.3000002,79.400002,39.900002,26.799999,0,0,0,0,0,0,0.0060000001,0,0.60000002,1.1,0,0.69999999,0,11.3,0.1,0.1,17.299999,0.1,0,0,0,0.89999998,10.1,4.5,4.5999999,0,0,0,0.1,0,0,1,40,0,0,0,0.1,8.1000004,1,0.1,0.2,0,0.2,34.200001,1.8,0.69999999,0.40000001,0,0.40000001,0,13.1,36.900002,0,0,4,0,23.799999,0,35,0,11.4,366.5,38.900002,4.8000002,0.1,9.8000002,0,0,2.0999999,0,0,0,0,26.5,15.4,2.9000001,0.40000001,77.300003,18.9
"Cuba",0,42,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.799999,0,7.0999999,1.432726,0.067274198,55.799999,1,18.549999,0,0,0,0,1.7,4.4299998,0,30.799999,0,0,6,0,0,0,15.47,0,1,1.7,2.0999999,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3000002,1.3,0,0,0,0,0,0,4.0999999,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0.27000001,0,0,0,0
"Haiti",19.514999,1.092,0,0,0.0060000001,0.108,0.0049999999,0,0.093999997,0,0,0,0.30000001,0,0,0.037,0.147,0,0,0.011,0.037,0,0,0.017000001,0.003,0,1.544,0.0070000002,0.91600001,1.01246,0.0475404,1.452,0.33399999,0.077,0.0099999998,0,0,0.53200001,0.235,0.34799999,0.68300003,0.65799999,0,0,0,0,0,0.29100001,0.018999999,0,0.066,0.092,0.123,0.35699999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.032000002,0,0.001,0,0,0,0,0,0,0,0.012,0,0,0,0.0060000001,0,0,0,0,0,0.02,0,0,0,0,2.2780001,0.113,0.001,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0.003,0.015,0
"Dominican Republic",120.11,5.7199998,0,0.44,0,0.61000001,0.56,0,0.76999998,0.23,3.8,0.14,0.51999998,0.050000001,1.3099999,0.33000001,4.3000002,0.1,0,0,0.11,0,0,0,0.11,0,7.5300002,0,6.8699999,4.0784931,0.19150729,1.79,1.24,3.3499999,0.31,0,0,0,0.13,0,0,5.29,0,0,0,0,0,0,0,0,0.079999998,0.82999998,2.27,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,13.31,0.87,0.059999999,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.1,0
"Jamaica",147.89999,36.599998,0,0.45100001,0,0,2.4000001,0.1,0.30000001,0.078000002,3.5,0,0.1,0,0,0.18000001,17,1.3,0,0,0,0,0,0,0.80000001,0,78.099998,0.80000001,5.3000002,3.8206019,0.1793979,8.3000002,4.1999998,0.31,0.2,0,0,0,1.6,0,0,5.1999998,0,0,0.40000001,0,0,0,0,0,0.30000001,1.5,1.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,6.8000002,7
"Trinidad and Tobago",63.299999,17.5,0,0.0080000004,0,1.3,0,0.69999999,0.1,0,1,0,0,0,0,3.8,183.89999,4.9000001,0,0.5,0.80000001,0,0,0,0.69999999,0,63.099998,1.4,4.1999998,1.6237561,0.076244101,2.4000001,0.80000001,0.40000001,0.30000001,0,0,0,0.1,0,0,1.6,0,0,0,0,0,0,0,0,0,0.89999998,1.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.200001,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,6.0999999,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5999999
"Barbados",17.5,11.3,0,0.0099999998,0,1.1,4.9000001,0,0,0,0,0,0,0,0,0.07,5.1999998,1.5,0,0,0,0,0,0,1.1,0,23,0.30000001,3.5,0.7641204,0.035879601,1.5,0.30000001,0,0.1,0,0,0,0,0,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0.2,0.40000001,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.30000001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.69999999,2
"Mexico",1235.6,30.1,0,0,0,0,0.2,0,0,0.80000001,0.057,0.1,0,1.1,6,0.69999999,0.1,0.40000001,0.60000002,8.6000004,9.3000002,1.9,0.1,8.6000004,11,1.9,74.599998,1.6,28.1,18.052349,0.84765512,63.599998,36.5,26.700001,1.2,0,0.40000001,0.60000002,2,0.60000002,3.3,45.200001,0,0,0.1,0.40000001,0,0,0,0.69999999,4,48.299999,1.4,4.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,2.0999999,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,1.2,0.2,0.1,76.5,0.60000002,0.1,0,3.2,0,0,0,0,0,0,0,4.0999999,3.1800001,0,0,17.299999,1
"Guatemala",102.1,2.9000001,0,0.030999999,0,0.40000001,0.1,0,6.5999999,0,5.6999998,27.9,2.8,6.6999998,0.40000001,0.60000002,1.4,0,0.1,0.2,0.2,0,0,0.1,0.2,0,11.8,0.2,4,3.5340569,0.1659431,3.5999999,4.4000001,1.9,0.2,0,0,0,0.5,0,0,4.9000001,0,0,0,0,0,0,0,0,0.30000001,1.7,0.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,22.5,0,0.2,0,0.30000001,0,0,0.5,0,0,0,0,0.2,0,0,0.1,0,0
