"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Democratic Republic","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Brazil",590.70001,48.07,0.22,0,0,0.55000001,0,0,0,0,0,1.76,0,88,0,0.88,0,0.55000001,0,11.33,115.39,40.259998,19.030001,0,36.849998,4.3270898,0.1829105,90.419998,26.84,15.18,3.52,0,4.73,1.1,14.85,52.029999,0,12.98,9.2399998,0,0,0,35.639999,66.110001,24.75,37.950001,3.1900001,0,0,0,0,0,10.78,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,87.120003,0,0,0,0,0,0,0,0,0,0,0.40000001,3,0,0
"Bolivia",24.9,3.3,0,0,0,1,0,0,0,0,0,0.2,0,0,0.69999999,7.4000001,0.60000002,0,0,1.3,7.6999998,0.1,4.4000001,0,1.7,1.822942,0.077057697,0.30000001,1.4,0,0,0,0,0,0.2,0.30000001,0,0.1,0,0,0,0,0,1,0.1,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Paraguay",7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,9.8999996,2.5999999,3.5,0,0.80000001,0.28783301,0.012167,2.7,0.69999999,0.30000001,0,0,0,0,0,0.40000001,0,0.30000001,0,0,0,0,0,0.80000001,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",139.8,3.7,9.1999998,0,0,0.69999999,0.1,0,0,0,0,0.2,0.1,0.1,2.5,26.299999,13.3,0.2,0.1,0,52.799999,0.40000001,17.299999,0,1.9,6.716104,0.2838966,10.2,1.6,6.3000002,0.5,0,0,0,0.1,3.7,0,0.1,0,0,0,0,0.5,6.3000002,1,2.8,0,0,0,0,0,0,0,0,5.1999998,0,0,0,0,0,0,0,2.0999999,0,0,0,0,0.2,0.30000001,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Argentina",141.2,6.8000002,0.5,0,0,0.30000001,0,0,0,0,0,0,2,46,3,19,120,1.8,15.4,22.6,0,0,75.699997,0,24.5,19.09292,0.80707753,41.900002,10.9,0.89999998,3.8,0,18.1,6.1999998,12.2,32.799999,0,3.0999999,0,0,5,29.799999,10.6,13.3,2.0999999,1.2,0,0,0,1.3,0,0.60000002,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,43.200001,38.700001,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Uruguay",45.299999,4.0999999,1.2,0,0.2,0.1,0,0,0,0,0,0,0.40000001,17,3.8,4.3000002,33.599998,0,4,5.8000002,1,0,41.900002,0,12.3,11.60926,0.49073559,16.1,5.5999999,0.80000001,0.5,0,0.1,0,1.2,8.8999996,0,0.1,0.40000001,0,0,0,1.7,8.8999996,1.3,1.6,0.1,0,0,0.30000001,0,0,0.40000001,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.3,0,0,0.89999998,0,0,0,0,0,0,0,0,0.1,0
"United Kingdom",791.59998,763.79999,35.799999,1.2,29.5,10.9,0.89999998,0.40000001,3.5,2.5999999,0.30000001,1.1,1.8,50.5,0.60000002,40.200001,103.6,30.5,3.3,36.099998,227,48.400002,0,289.20001,306.79999,144.30029,6.099721,271.89999,69.599998,111.2,41.900002,4.8000002,57.400002,1.1,18.5,146.7,0,21,21.4,1.6,6.0999999,117,165.2,327.39999,116.6,348.89999,2.9000001,0,3.2,238.60001,0,9.1999998,20.200001,124.7,46.799999,9,1.5,0,25.4,5,6.5999999,0,25.1,0,0,0,0.30000001,43.299999,415.5,73.800003,20,113.3,0,7.4000001,0,0,0,0,4.8000002,24.6,660.40002,492.79999
"Ireland",34,10.9,1.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0.69999999,0.80000001,0,0,0.1,9,0.30000001,280.89999,0,14.9,8.5390453,0.36095431,9.3999996,3.5,4.5,2,0.30000001,0,0,0.80000001,3.8,0,0.1,0.80000001,0,0.1,0.60000002,7.8000002,10.1,1.3,2.4000001,0.60000002,0,0,3.8,0,0.1,0.69999999,0,0.1,0,0,0,1,0.30000001,0,0,0.2,0,0,0,0,3.3,14.5,1.6,0,1.8,0,0.1,0,0,0,0,0.80000001,0.69999999,9.6999998,3.0999999
"Netherlands",336.39999,39.099998,11.1,0.60000002,2.4000001,11.6,3.4000001,1,1.7,2.4000001,1,1.3,9.6000004,26.6,1.3,5.6999998,18.799999,0.5,1.4,3.4000001,69.300003,19.200001,229.3,1.6,0,460.14899,19.45097,101.1,44.599998,13.3,5.0999999,11.6,2.3,1.4,13.6,29.6,0,4.5999999,5.1999998,0.2,0.30000001,23,32,97.5,21.6,13.8,1,0,1.4,10.4,0,1.9,6.5999999,8.8999996,6.9000001,15,58.200001,0,2.8,0.69999999,0.2,0,6.1999998,0,0,0,0,8.3000002,9.5,3.5999999,2,2.3,0,8.8000002,0,0,0,0,20.700001,138.89999,11.1,9.3000002
"Belgium",252.5255,47.780281,3.7418289,10.26604,2.0148311,14.77543,3.070219,1.151332,0.7675547,2.0148311,0.86349899,0.1918887,8.2512131,10.36199,4.5093842,11.12954,23.794189,0.4797217,3.7418289,3.358052,56.03149,2.6864409,204.9371,3.070219,327.55399,0,0,292.82211,55.167992,15.25515,9.882267,5.5647721,4.3174949,1.3432209,5.4688268,36.3629,0,2.9742739,1.2472759,1.726998,1.822942,26.86441,20.532089,72.533913,20.3402,16.406481,0.1918887,0,0.38377741,29.742741,0,1.3432209,3.358052,19.09292,5.9485478,5.6607161,23.69825,0,2.7823861,2.302664,0,0,2.110775,0,0,0,0,6.3323259,11.41738,17.17404,1.151332,1.2472759,0,1.631054,0,0,0,0,7.5796032,10.93765,59.389549,9.9782104
