"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,13467.8,0,42.200001,185,180.39999,246.5,8.1000004,1339.1,101,128,55,74,116,70,261.89999,1350.8,47,95,290,808.40002,25,11,96,186,12,2658,132.39999,568.5,855.17517,41.22485,1163.2,530.09998,491.70001,122.3,0,11,114.8,136,9,25.4,1501.7,1,0,102.3,61,1,3,14,61.700001,130,481.60001,186.3,304.5,64,3,0.0040000002,0.0049999999,1,2,0,0.161,88,5.8000002,0.023,52,24,112,1,21,226.3,15.2,8,1.8200001,3,47,46,27,21,13,9,0,65,8,1,4,304,0,0,1,42,6,8,21,6,153.60001,13,176.10001,71,10,20,2,14,0.0099999998,185,105,0.0040000002,3,39,17,0,93,0,5,5,1,867.40002,0,491,7723.3999,349,0,82,0,1,33,0,2,103.2,0,0,3,0,286,144,526,220,659.29999,244.2,12.73
"Canada",11935.5,0,11.2,1.3,3.4000001,31.200001,8.3000002,2.5999999,54.799999,5.0999999,19,3.8,2.0999999,9.3000002,6,34.799999,422.20001,27.4,8,3.7,55.299999,0.40000001,1.9,10.2,8,0.082000002,912,15.1,83.400002,61.342892,2.9571149,232.2,93.900002,42.099998,20.4,0,4.5,16.799999,46.799999,7.9000001,33.299999,171.39999,0.2,0,8.6999998,6.5,0.40000001,1.4,9.8999996,13.8,17.1,124.3,57.900002,37.900002,0.138,0,0.30000001,0.001,0.026000001,0,0,0,0.80000001,0,0.0089999996,0.60000002,0.5,8.3000002,0,2.5,62.299999,1,0,0,0.162,3,6.3000002,4.3000002,3.2,1.1,0,0,0.001,0.025,0,0.69999999,59.5,0,0,0,0.30000001,12.6,0.30000001,0.30000001,0.02,6.8000002,0.138,72.599998,1.5,18.700001,0.2,0.2,1.1,0,16.799999,29.700001,0,1.5,0,0.60000002,0,5.3000002,0,0.141,25.299999,0,87.900002,0,21.1,873.79999,48.599998,0,8,0,0,9.5,0,0,3.3,0,0,0.003,0,29.299999,20.1,6.8000002,1,136.8,43.700001,9.3999996
"Cuba",0,56.099998,0,0,0,0.061000001,0,0,0.1,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,6.8899999,0,0,63.900002,1.21,14,4.3884492,0.211551,41.099998,6.0999999,28.75,0.23,0,0,0,1,6.5999999,0,44.700001,0.029999999,0,0.34,0,0,0,10.47,0,1.1799999,12.4,0.37,3.0699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1.6799999,0,0,0.032000002,0,0,0,4.75,2.04,0.47999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.900002,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49000001,0,0,0,0,0
"Haiti",26.875999,2.944,0,0,0.023,0.234,0.033,0.001,0.58700001,0.048999999,0.186,0.02,0.435,0.001,0,0.115,0.015,0,0,0.0049999999,0.119,0,0,0.026000001,0.0049999999,0,2.707,0.001,1.737,1.259294,0.0607059,2.957,0.58200002,0.20299999,0.014,0,0,0.27700001,0.161,0.361,0.484,1.4529999,0,0,0.0089999996,0.014,0,0.505,0.55900002,0,0.186,0.131,0.35800001,0.43900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.0020000001,0,0,0,0,0,0.014,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.36000001,0,0,0,0.0020000001,5.4159999,0.023,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0.027000001,0,0.0040000002,0.032000002,0,0
"Dominican Republic",164,13.1,0,0.42899999,0,1.201,0,0.001,1.9,0.88599998,4.342,0.118,0.175,0.25299999,0.07,2.49,0,0,0.029999999,0.18000001,2.7,0,0,0,0.2,0,9.6999998,0,5.3000002,5.3424602,0.25754029,6.0999999,2.7,10.02,0.18000001,0,0,0,0.69999999,0,0,12.2,0,0,0,0,0,0,0,0,0.18000001,1.9,3.0999999,2.3099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.099998,0.17,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0
"Jamaica",221.91499,41.574001,0,0.38999999,0.20200001,0,8.3559999,0.579,1.303,0.38499999,4.3670001,0.026000001,0.96700001,0.071000002,0.081,0.59100002,32.551998,3.339,0.029999999,0.035999998,1.529,0,0,0.013,0.221,0.003,110.221,0.80800003,7.1989999,3.8637431,0.1862568,9.9820004,3.6359999,1.15,0.366,0,0.0070000002,0.082000002,1.043,0.001,0.017999999,10.137,0.0040000002,0,0.35499999,0.061999999,0.039999999,0,0.0080000004,0.001,1.039,2.7060001,1.8559999,1.429,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.090999998,0,0,0.0099999998,0.045000002,0,0,0.032000002,0,0.0020000001,0.11,0.117,0,0,0.0020000001,0.0020000001,0.0049999999,0,0.013,0.064999998,0,0,0,0.027000001,0,0.0049999999,0,0,0,0.0020000001,0.011,0.0060000001,0.001,0.001,0,0.046,0,0.131,0.69,0,0.0099999998,0,1.234,0,0,0,0.017000001,0.1,0.078000002,2.1359999,0,0.30399999,14.427,0.71899998,0,0.37599999,0,0,0.001,0,0,0.07,0,0,0,0,0.49000001,1.059,0.21799999,0,10.164,12.841,0
"Trinidad and Tobago",114.77,21.370001,0,0.011,0.079999998,5.4099998,0,2.02,0.60000002,0.0020000001,2.01,0.001,0.0099999998,0.012,0,1.7,66.860001,7.1599998,0.039999999,0.079999998,3.1500001,0,0,0.050000001,0.40000001,0,85.580002,1.67,6.0100002,2.6139891,0.12601081,4.1999998,0.93000001,1.01,0.55000001,0,0,0,0.2,0,0,2.3699999,0,0,0,0,0,0,0,0,0,1.33,1.91,1.33,0,0,0,0,0.061000001,0,0,0,0,0,0,0,0,0.011,0,0,19.83,6.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.2,0,23,0,0,0,0,0,0,0.1,98.510002,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,1.33,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,5.6500001,8.3400002,0
"Barbados",24.263,13.638,0.003,0.054000001,0,2.2609999,10.054,0,0.11,0,1.1339999,0.003,0,0.0020000001,0.017999999,0.33899999,2.1259999,2.6860001,0,0.016000001,0.329,0,0.045000002,0.0070000002,0.759,0.064000003,39.713001,0.49000001,4.263,0.3339037,0.0160963,1.803,0.69300002,0.36300001,0.090999998,0,0.093999997,0.048,0.101,0.075000003,0.097999997,1.941,0.032000002,0,0.015,0.0040000002,0.048,0,0.023,0.012,0.126,0.48199999,0.80900002,1.447,0,0,0,0,0.0060000001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0.041000001,0.001,0.025,0,0.015,0.001,0.041000001,0.001,0,0,0,0,0,0,0,0,0.11,0,0.066,0.015,0.083999999,4.7579999,0.28999999,0,0.101,0,0,0.161,0.02,0,0.044,0,0,0,0,0.255,0,0.0040000002,0.0020000001,1.944,3.615,0
"Mexico",1325.9,48.200001,0,0,0.029999999,0.1,0.02,0.052999999,0,1.2,0.29300001,0.1,0,1.3,13.3,1.6,8.8000002,0.93599999,0.5,15.8,17.700001,1.4,1.1,13,17.6,2.5999999,67.5,0.69999999,35.799999,23.277861,1.12214,75.699997,59.799999,40,1.5,0,1.4,0.5,2.9000001,0.69999999,4.0999999,49.299999,0,0,0.40000001,0,0,0,0.02,0.40000001,8,45.400002,2.9000001,7.9000001,0.023,0,0,0,0.001,0,0,0,0,0,0,0,0,0.0040000002,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,2.7,0,0,0,0,0,1.7,0,0,0,0.089000002,0,0.0099999998,0,0.1,0,0.0099999998,0,0.80000001,0,0,0,0,0.1,0,0,0,0,0,0,1.7,0.2,1.1,89.900002,1,0,0.1,0,0.1,2.8,0,0,0.050000001,0,0,0,0,0.80000001,4.6999998,0,0.1,9.8999996,2.8,0
"Guatemala",98.181999,3.882,0,0.001,0.090000004,0.255,0.066,0,8.0039997,0,1.766,42.533001,8.5649996,13.563,0.60100001,1.495,9.4870005,0,0.075000003,0.233,0.259,0,0.0070000002,0.029999999,0.66000003,0.030999999,13.997,0.289,5.1220002,5.0657959,0.2442034,4.5819998,3.842,2.8559999,0.36500001,0,0,0,0.653,0,0.30899999,4.6440001,0,0,0.046999998,0.001,0,0,0,0,0.177,1.836,0.46799999,0.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0.035999998,0,0,0,0.0089999996,0,0,0,0,0,0,0.0070000002,0.001,0,0,0,0,0,0.041999999,0.0089999996,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0.013,32.224998,0.016000001,0,0.083999999,0,0,0.113,0,0,0.18099999,0,0,0,0,0.0040000002,0,0.057999998,0.028000001,0.07,0,0
