"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Uganda",4.5100002,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000001,0,0,0,0,0,35.200001,0.37400001,5.8299999,13.62991,0.67009228,10.23,3.8499999,0.37400001,0.044,0,0,0,0.44,0,0.21182701,12.32,0,0,0,0.264,0,0,0,0,1.067,1.54,0.42899999,2.1559999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.2043,2.8380001,0.0044,0.0011,0.0077,0,0,0,0,0,0.0242,0.0022,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0.011,0,0.044,0,0,0,0,0.55000001,0,0,0,1.9910001,0,6.9976058,0,0,1.4299999,0,0.76999998,0,3.1900001,16.059999,38.972569,0,2.3210001,0.56099999,0,0.0098999999,0,0,0.055,0,0,0,0.011,0.044,0.022,0.11,0.41800001,0,0,0,0,0.0011,0
"Kenya",86.551003,11.568,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0.003,0,0,0,2.4130001,0,0,0,2.8499999,0,185.173,0.89600003,42.233002,15.79354,0.77646363,60.287998,20.811001,15.089,0.34,0,0,0.28,13.393,0,1.803,24.607,0.34999999,0,2.4909999,1.15,0,0,0.0060000001,0.028999999,3.595,25.606001,5.8429999,9.5100002,0.023,0,0,0,0,0,0,0,0.676,0,0,0,0,0,0.0040000002,0,0.96799999,0,0,0,0,0,0,0,1.863,1.285,0,1.526,1.126,5.098,0.31400001,0,6.6719999,0,0,1.576,0.97399998,0.44499999,4.132,0,0,0,1.205,0,0.061999999,0,0,0,0,0,0,75.919998,0.15000001,0,10.047,0,0,0,11.264,103.215,0,0,11.476,7.086,13.922,180.011,22.278999,0,4.704,0,0,0,14.512,130.76601,10.342,0,5.7800002,2.6600001,0,1.056,0,0,9.1800003,0,0,0,63.993999,11.747,0.02,0.56900001,10.144,0,0.37,0,0,0,0
"Tanzania",27.662001,12.823,0,0,0,0,0.0020000001,0.001,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999,3.8729999,0,0,0,0.0020000001,0.0049999999,107.527,0.36700001,39.396,32.387711,1.592289,15.029,10.319,1.043,0.33399999,0,0.53600001,0.20100001,2.7279999,1.247,0.071999997,36.821999,0.029999999,0,5.8709998,3.335,0.016000001,5.0250001,0.67799997,5.7639999,9.54,21.566999,9.1529999,13.425,0,0,0,0,0,0,0,0,0,0,0,0.098999999,0,0,0,0,0.0070000002,0,0,0.086000003,0,0,0,0,0.43900001,4.3579998,8.7189999,0,0.026000001,0.0020000001,0.017999999,0,0.012,0.0060000001,4.0749998,4.809,8.6850004,7.5409999,0,0,0.101,0.029999999,0.139,0,0.067000002,0.074000001,0,0.227,0.0099999998,37.773998,0.50700003,32.446999,0.071999997,0,0.167,0.043000001,0.003,0.96499997,2.1370001,0.49000001,0,0.048999999,18.879,29.159,0,11.815,0,0,10.524,0,0.75,0.2,0.0020000001,84.124001,15.713,0,0.43700001,3.2,0,0.34099999,0,0,6.3299999,0,0,0,1.614,5.428,0.07,0.271,2.7479999,0,1.948,0,0,0.0060000001,0
"Burundi",5.9679999,0.285,0,0,0,0,0.0089999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.068999998,0,0,0,0,0.024,4.9419999,0.287,6.9349999,25.277281,1.242717,18.995001,1.826,0.37099999,0.093999997,0,0.057,0.034000002,0.20999999,0.094999999,0.80000001,7.2639999,0,0,0.050999999,0.294,0,0.027000001,0.954,0.83399999,0.55599999,0.56999999,0.273,1.224,0.055,0,0,0,0,0,0,0.024,0,0,0,0.096000001,0,0,0,0,0,0,0.001,0.0089999996,0,0,0,0,1.4859999,0,6.6729999,4.8920002,0,0.176,0.001,0.0020000001,0.0049999999,0,0,5.9710002,1.304,1.188,0,0,0.039999999,0.17200001,0,0,0,0,0,0,0,0.014,0,26.504,0,0,0,0,0.001,0,1.63,0.001,0.093000002,0,0,0.71799999,0,0.211,0.18099999,0.017000001,5.256,0,0.71799999,0.59899998,0.045000002,11.645,0.301,0,0.41,0.69800001,0,0.097999997,0,0,0.066,0,0,0,0,0.171,0,0,0.064999998,0,0,0,0,0,0
"Rwanda",12.887,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,7.7140002,0.02,8.2259998,44.511662,2.188343,14.001,3.0090001,1.512,0.090999998,0,0.26300001,0,0.086000003,0.07,0.15000001,9.4940004,0,0,0,0.07,0.0099999998,0,0.211,0.64099997,0.30000001,0.336,0,2.1700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000001,0,0,0,0,0,3.2490001,0.87300003,57.535999,1.5190001,1.97,0,0,0,0,0,0,0.0078457762,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.938999,0,0,0,0.40000001,33.564999,0.099020705,0,0,0,0,0.044,0,0,0.079999998,0,0,0,0,0,0,0,0.43900001,0,0,0,0,0,0
"Somalia",17.937,0.068000004,0,0,0,0,0.0040000002,0.001,0.41800001,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.003,0,0,0,0,0,0.0049999999,0,0,0.014,0,0,11.463,0.17399999,2.2060001,4.4797602,0.2202401,3.6459999,0.29800001,0.035,0.79000002,0,0.94999999,0,0.185,0,0.0049999999,215.98,3.6600001,0,0.0080000004,0.227,0,0,2.766,0.048,0.003,0.34,0.0070000002,1.165,0,0,0.0080000004,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.0020000001,0.015,2.9219999,0.018999999,0,0,0,6.2639999,0.31400001,0,0,0,0.001,0,0,0.66600001,0,0.465,0,0,0.61500001,0,0,0.0049999999,0.039999999,0,0.001,0.001,0.46000001,0,0.021,0.16,0,0.003,0,17.927,1.533,0.039000001,0.027000001,14.33,0,4.8870001,0,0,2.4360001,0,0,0.65499997,3.201,7.4920001,2.072,0,0.28400001,0,0.235,0.43700001,0,0,1.919,0,0.0020000001,0.013,0.029999999,1.319,0.0099999998,0,0.995,0,0,0,0,0,0
"Djibouti",6.395,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.094999999,0,0,0,0,0,11.652,0.44999999,12.888,3.621933,0.17806651,70.183998,0.88999999,1.0420001,0.001,0,0,0,0.89999998,0,0.56487203,11.678,3.635,0,0.45199999,1.12,0.30500001,0,0,0,0.012,0.62300003,0.012,2.0309999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9699998,0,0,0,0.50999999,0,37.484001,0,0,0,0,0,0,0,0,0,0.018999999,0,0,0,0.052999999,0,0.0020000001,0,0,0,0,0,0.22400001,0,0,0,0,3.325,0.153,0,0,43,0,0,0,0,6.5999999,0,0,0,3.2780001,21.160999,0,0,1.5599999,0,0,0.361,0,0,3.615,0,0,0,0.018999999,0,0.039000001,0,0.0099999998,0,0,0,0,0,0
"Ethiopia",40.189999,23.576,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64999998,0,0,0,0.0099999998,0,66.491997,2.3710001,25.063,11.18987,0.55013168,24.875999,18.743,5.8410001,0.1,0,18.882,8.6960001,6.2649999,2.859,4.402,117.414,0,0,17.184,3.987,0.034000002,3.4549999,1.104,183.123,5.0949998,17.443001,1.814,4.6869998,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0.022,0,0,0,0,0,0,4.7140002,0.207,0,0.001,0,4.7309999,0,0,0,0.00087175285,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0.764,0,1.26,0,0.74699998,0,0.123,4.25,5.8080001,8.6969995,0.45100001,3.717,0.072999999,0,0,0.087143287,0,0,4.2389998,0,3.7520001,2.908,22.347,81.230003,3.9130001,0,0.1,2.8399999,0,1.728,0,0,0.018999999,0,0,0,0.162,6.3060002,0,0,9.927,0,0.029999999,0,0,0,0
"Angola",99.879997,3.0799999,7.3590002,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0,0,0,0,0,0,0,0,51.182999,0,0,0,18.986,0.583,37.619999,0.55000001,62.810001,30.40518,1.494821,92.07,7.9200001,35.882,108.328,0,0,1.947,4.5100002,1.76,0.77669901,42.459999,0,0,5.9619999,0,0,0,2.948,0,0.46200001,20.129999,1.6720001,16.632,0,0,0,0.00055045658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,44.439999,7.2192998,0,0,9.3302002,0,0,0,0,0,0,0,0,0,0,0,0.060412474,0.55220002,0,0,0,0,0,0,0,0,0,0.22,1.1440001,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0,3.0799999,0,0.22,27.719999,0,0,0,0.495,0,0,0,0,0.18700001,0,0,0,0.198,0,0,0,0,0,0.011,0,0,0,0
"Mozambique",21.889999,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0,0,95.260002,0,0,0,1.408,0.0506,47.959999,0,18.26,4.4035091,0.2164913,53.349998,4.9499998,10.131,69.530998,0,0,0,0.55000001,3.8499999,8.6142979,43.779999,0.11,0,0,0.64899999,0,0,0,0,0.31900001,19.58,7.6999998,5.1479998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000018162051,0,0,0,0,0.0022,0,0,10.5149,1.6874,0,0,0.0022,0,0,0,0,0.022055348,16.6133,6.9927001,0,0,0,0,0,0,0,0,0,13.266,0,0,0,0,0,0,0.033,0,0,0,0,8.0299997,0,0,0,0,0,20.321814,0,0,2.3099999,0,0.66000003,0,1.21,25.959999,0,0,0,15.466,0,0.011,0,0,17.072001,0,0,0,21.900999,14.091,0.90200001,1.4299999,0.56099999,0,1.628,0,0,0,0
