"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Zambia",67.438881,3.4423978,0.0038693121,0,0,0,0.00064488535,0,0,0,0,0,0,0,0,0.0064488533,0,0,0,0,0,0,0.012897707,0,0,0.0012897707,0,0,0.00064488535,6.6803675,0,0,0,0.0064488533,0,91.966454,1.0672852,11.596328,14.84993,0.73007262,17.793032,9.1541471,1.9501333,0.73645908,0,0.39015564,0.057394795,1.7,0.023215873,1.5896424,23.417721,0.02,0.0064488533,7.165966,0.34759319,0.0077386242,2.0313888,11.081065,1.7334518,1.9082158,8.907156,1.9359457,2.9825947,0,0,0,0,0,0,0,0.038048234,0,0,0,0,0.0070937388,0,0,0,0.001,0,0,0.0045141974,0,0,0,0.0038693121,0.82158393,0.013542593,2.8026717,2.0958774,0.0096732797,0,0.001,0,0.02901984,0,0.0025795414,0,37.053177,1.298799,102.83019,0.0045141974,1.2291515,2.9709868,0,0,0.0025795414,0,0,11.56,0,0,0,0.067712963,0.0025795414,0,0.096087918,0,0.24505644,0.00064488535,1.1440266,136.96461,0.00064488535,0,0.00064488535,29.559999,0,0.048366401,0.0025795414,0,2.2725759,0,9.1605959,0.16638042,2.7852597,44.098549,12.664258,0,0.62295926,3.0451486,0.13478103,0.0032244266,0,0,0.054815255,0.0032244266,0,0,0.94862634,1.4780772,0.08963906,0.0019346561,6.784194,0.0793209,0.049656171,0,0,0,0
"Zimbabwe",109.061,4.7410002,0,0,0,0,0.0080000004,0,0.018999999,0,0,0,0,0,0,0.093000002,0.0049999999,0,0,0,0.014,0,0,0.021,0,0,0,0.029999999,0.0049999999,2.3959999,0,0,0.026000001,1.119,0.022,132.129,0.89600003,21.068001,11.41862,0.561378,53.820999,22.694,17.375,1.647,0,1.99,0.15000001,8.2370005,0.546,1.447,20.808001,0.013,0.0060000001,2.257,0.184,0.0020000001,0.66500002,2.8929999,0.77999997,3.6340001,9.2180004,7.1100001,2.3759999,0.012,0,0,0,0,0,0.0020000001,0.013,0,0,0.12,0.116,0,0,0.011,0,0.068000004,0,0,0.035999998,0,0,0,0.50599998,0.61799997,0.0099999998,0.46399999,0.34999999,0,0,0.001,0,0.011,0,9.8369999,25.066,0,8.8800001,282.19,0.0089999996,48.666,1.697,0.0020000001,0,0.017999999,0.0040000002,0.0020000001,7.6129999,0,0,0.0070000002,0.017999999,0.0080000004,0.0070000002,0.0060000001,0,0.001,0,6.71,0.0040000002,0,0,0,0.34900001,0,0,0,0.001,2.5840001,0,7.1680002,5.4120002,0.37,54.737999,13.768,0,0.046,6.3109999,0,0.64700001,0.0040000002,0,0.017000001,0,0.001,0,4.4260001,1.358,0.02,0.071999997,6.1620002,0,1.113,0,0,0,0
"Malawi",9.3559999,2.885,0,0,0,0,0,0.62,0.0020000001,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,42.07,0.064000003,3.635,6.3860412,0.3139593,5.2579999,2.3959999,1.295,0.31999999,0,0,0,1.145,0,0,1.927,0,0,0,0.18000001,0.15000001,0,0,0,1.0599999,2.1289999,0.308,3.2290001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369,0.62699997,0,0,0,0,0,0,2.2130001,12.684,17.172001,0,120.4,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,1.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21.421,4.4899998,0,0.39199999,0,0,0,0,0,0.02,0,0,0,0.67299998,4.3779998,0,0,0.175,0,3.677,0,0,0,0
"South Africa",2129.3,139.10001,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0.41499999,0,0.075999998,0,1.7970001,0,0.44,0,0,0,1.86,10.76,138.13,0,4.395,0,171.99001,5.3369999,1675.9,39.799999,234,209.21429,10.28568,495.39999,233.10001,92.470001,29.67,0,0,0,67.400002,0,0,470.20001,0.25999999,0,0,3.95,0,0,0,0,76.970001,138.5,73.059998,64.139999,0.071000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10496908,0.38605461,0,4.1729999,0,0,0,0,0,0,0,0,2.5821321,189.491,18.408001,0,0,0,0,0,0,2.802,0,0,0,0,0,0,0,2.02,0,0,0,0,0,82.800003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1740.7,0,0,0,0,0,14.717,0,0,0.039999999,0,0,0,1.27,0,0,0,146.82001,0,17.26,0,0,0.0040000002,0
"Lesotho",7.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0,0.001,0,0,0,0,3.0999999,0,0.30000001,0.38125619,0.0187438,0,0,0,0,0,0,0,0,1.26,0,4.9000001,0,0,0,0,0,0,0,0,0,0.89999998,0.0099999998,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000001,0,0,0,0,0,0,0,0,0.93800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.12872691,0,2.8199999,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.07,0,0.5,0,0,0,0
"Botswana",4.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.19,0.1,1.525025,0.074975401,8.3999996,1,0.75999999,0.050000001,0,0,0,0.30000001,0,0,0,0,0,0.059999999,0.02,0,0,0,0,0.02,1.5,1.55,0.23999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0.0060000001,0.0020000001,0,0.003,0,0,0,0,0.16476129,40.263,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1.3,0,0.3366704,0,0.090000004,0,0,0,0,0,2,0,0,0,0,0,0.050000001,0,0.029999999,1.08,0,0,0,0,0
"Swaziland",3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3000002,0.27000001,0.30000001,0.095314004,0.0046859998,0.30000001,0.1,0.55000001,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.30000001,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0.088436455,0,0,0,0,0,0,0,0,0,0,0,0.50474489,1.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4.9000001,10.961592,0,0.91000003,0.059999999,0,0.0040000002,0,0,0.55000001,0,0,0,0.18000001,0,0.039999999,0,0.15000001,0,0.15000001,0,0,0,0
"Madagascar",26.473,1.3430001,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0.02,0,10.034,0.37,9.9499998,9.6267195,0.47328201,141.134,5.0869999,0.648,0.059999999,0,0.70700002,0.0049999999,3.7,0.20999999,0,16.943001,0,0,0.0089999996,0,0,0,1.6289999,6.8039999,0.02,1.816,0.25999999,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.28799999,0,0,0.001,0.0099999998,0,0,0,0,0,0,0,0,0,0,24.344,0,0,0.2,6.6300001,28.503,0,0,0,8.0150003,0,0,0,0,15.242,0.713,0,12.601,0,0,0.023,0,0,7.7150002,0,0,0,1.494,1.53,0.13,0.14,0.88999999,0,0,0,0,0,0
"Comoros",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.44,0.83876348,0.041236401,22.66,0,0.066,0.71499997,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3739001,0,0,0,0,0,0,0,0,0,0.1067,0,0,0,0,0,0.16060001,0,1.3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8599999,0,0.33000001,0,0,2.0899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",12.966,0.391,0,0,0,0,0.001,0,0.001,0,0,0,0,0.003,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0.368,5.5300002,0,0,0,0.0020000001,0,38.280998,0.76200002,4.4289999,4.6036682,0.2263319,51.979,3.1589999,0.47799999,0.237,0,0.0089999996,0.0020000001,0.648,0.28799999,0.096000001,17.76,0.0049999999,0,0.061999999,0.026000001,0,0.046,0.0040000002,0.108,0.022,0.99000001,0.13,1.4069999,0.015,0,0,0,0,0,0,0.001,0,0,0,0.213,0,0,0,0,0.061000001,0,0,0,0,0,0,0.075000003,0.0089999996,0.0020000001,12.231,0.015,0,0,0,0,0.0099999998,0,0,0,2.602,0.131,38.411999,0,0.18799999,0.001,1.212,0.26300001,0,0.11,0.72299999,0,0.0020000001,0.001,0.001,0.0080000004,1.413,0.0080000004,0.003,0,0,0,2.605,0.014,0,0,0.0020000001,79.267998,0,0,0,0,20.018999,0,9.7620001,0,7.5359998,21.296,10.442,0,2.3840001,0.0070000002,6.3889999,0.226,1.087,0.0060000001,0.36199999,0,0,0,8.1610003,7.0040002,0.505,0.55900002,20.743999,0,12.196,0,0,0,0
"Seychelles",2.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,11.6,0.17,2.4000001,0.28594211,0.0140579,4.0999999,0.1,0,0.079999998,0,0,0,0,0,0,8.6999998,0,0,0,0.029999999,0,0,0,1.9,0.0099999998,0.60000002,0.0099999998,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.050000001,0,0,0,1.4,0,0,0,0,0.139,0,8.1000004,0,0,0,0,0,1.7,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,12.4,0,0.087143287,0,0,2.4000001,0,0,0.60000002,0,5.1999998,2,0,1.2,0.029999999,0,0.126,0,0,0,0,0,0,0.40000001,7.4000001,0,0,1,0,0,0,0,0,0
"Morocco",358.95001,50.799999,0,0,0,9.0299997,0,1.51,0,0,0,0,0,0,0,20.299999,0,3.3299999,0,0,0,0.5,0,3.51,0,0.29300001,0,2.1400001,0.30000001,52.240002,0,0,0,14.83,0.62,136,7.3299999,69.690002,67.587189,3.322814,719.14001,35.66,260.82999,36.259998,0,10.15,41.84,7.8400002,7.0500002,7.6999998,174.52,0.039999999,0,18.440001,2.1300001,0.101,4.5700002,18.43,203.7,9.2200003,49.310001,2.6800001,11.79,0,0,0,0,2.1700001,0,0,0.050000001,0,0,0,16.469999,0,0.62900001,0.090999998,0,0,0.40000001,1.3099999,1.9299999,26.93,0,0,0.13934647,0.38,0,0.31,0,0,0,0,0,0,0,0,0,0.001,0,0,0,1.23,0,0,0,0,0,0,0.28999999,3.1900001,4.4000001,0,0,3.8699999,157.92,2.0699999,2.77,4.29,0,0,504.79999,0,0,39.720001,0,0,0.087143287,9.6300001,0,34.580002,0,10.56,0,6.7800002,61.16,15.88,0,0.029999999,1.9,0,2.01,0,0,18.74,0,0,3.21,2.8599999,1.53,0.02,12.04,0.25999999,0,3.0599999,0,0,0,0
"Algeria",625.12,384.56,0,74.400002,0,0,0.0089999996,6.0500002,0,0,0.18000001,0,0,0,0,18.5,0,0,0,0,33.450001,0,0,9.4200001,9.0500002,0,0,2.5899999,0.70999998,193.77,0,4.6199999,0,83.410004,0.059999999,339.42999,57.48,273.37,334.99069,16.469271,2439.1599,138.69,722.76001,44.689999,0,102.57,33.09,152.2,83.010002,56.450001,851.71002,4.9200001,4.1999998,177.66,104.72,0.61000001,40.700001,103.87,53.740002,99.809998,124.67,6.7800002,93.800003,0.039999999,0,0,0,0,0,0.87,0,0,4.5500002,0.34999999,14.93,0,0,0,0,0,0,11.05,0,2.5999999,0,0,1.37,0.75,0,0.92000002,26.4,0,10.4,0,0,3.6700001,8.3400002,0,0,18.870001,0,0,0,4.9899998,0,8.5100002,0,0.001,0.1,9.1599998,0,34.669998,0.073138513,1.78,1.45,158.05,0,1.0700001,31.82,9.46,0.029999999,0,11.13,0.063000001,0,0.0099999998,0,0,0.087143287,0,0,177.05,0,0,9.4300003,2.9300001,624.22998,6.3200002,0,1.8,4.3299999,2.0599999,0.02,0,0,5.0700002,0,0,0.61000001,8.8800001,11.37,8.0699997,63.25,3.53,0,20.58,0,0,0,0
"Tunisia",283.14999,45.790001,0,3.53,0,1.55,0,5.8699999,0,0,0,0,0,0,0,6.6700001,0,0.83999997,0,0,0,0,0.0099999998,1.9400001,0.28999999,0,0,0,0,39.150002,0,0,2.6700001,6.8299999,0.029999999,54.16,3.5899999,68.75,117.017,5.7529531,782.04999,41.689999,155.14999,12.79,0,15.55,28.049999,26.26,10.41,9.5699997,431.70001,3.1099999,0,16.209999,167.53,0.15000001,10.24,47.709999,21.82,21.15,36.860001,2.0899999,8.5799999,0,0,0,0,0,0,2.5599999,0.33000001,0,0,0,5.4099998,0,1.1,0,0,0,5.1356125,1.48,0,0.54000002,0.15000001,0,2.52,0,0,1.1799999,0.47999999,0,0,0.0099999998,0.0099999998,0.40000001,0,0.47,0.26152587,0.69099998,0,0,0,0,0,0.14,0.02,0,0.40000001,12.67,3.26,0,24.5,2,0.82999998,35.549999,1.66,5.5799999,16.9,1.02,0.23,0,23.719999,0,0,2.1099999,0.029999999,0,0.039999999,0,0,32.630001,0,0.51999998,0.02,2.8499999,71.690002,14.22,0,0.31,1.62,0,0.17,0,0,1.59,0,0,0,1.46,0.1,0.18000001,6.0100002,0.55000001,0,2.5799999,0,0,0,0
"Libya",209.88,68.529999,0,32.490002,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,1.716,0,0,0,0,0.0011,0,0.22,0,19.030001,0,0,0,0.27500001,0.2068,458.48001,67.407997,271.26001,85.344193,4.1958079,367.84,109.01,303.17099,1.892,0,14.155,221.01199,118.03,111.859,22.705,2314.29,13.189,1.615,247.698,111.716,28.7628,86.07,155.782,30.684999,33.132,83.599998,7.7989998,56.067001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5378,0,0,0,0,0,0,7.3150001,0,0,0,0.0143,0,0.094999999,0.0121,0,0,0,6.5516,0,0,0,0,0,0,0,0,0,16.357,0.37400001,45.166,0,0,0.40000001,202.71899,0,0.044,3.4430001,9.4049997,0,0,0.33000001,0,0,0,0,0,2.5881555,0,0,51.259998,0,16.83,0,144.75999,399.29999,5.1629395,0,3.1900001,3.4979999,0,18.4184,0,0,0.671,0,0,0,0.396,4.3779998,0,0.55000001,18.854,0,0.308,0,0,0,0
"Sudan",123.075,7.1919999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032000002,0,0.090000004,0,0,0,0,0,4.8449998,0,0,0,0.0060000001,0,156.505,0.32100001,82.751999,34.32259,1.6874141,69.184998,13.603,13.785,0.0080000004,0,0.29300001,2.2460001,5.6199999,0.435,13.403,48.757,0.13,0,3.5880001,17.945999,0.62400001,4.2600002,47.966999,0.38499999,0.199,9.941,0.89200002,3.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0.078000002,16.621,5.835,0,0,0.0070000002,0,0.27500001,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0.0080000004,0.14627703,0,0,3.329,0,23.214001,1.16,1.688,1.223,0,224.73199,0.046,26.584999,25.790001,44.141998,0.125,3.2219999,0,0,32.650002,0,28.302,0,17.245001,43.743,35.882,0,1.865,13.486,0,0.49200001,0,0,3.4920001,0,0,0.0020000001,11.062,15.766,0.38,0.92699999,2.9860001,0.15700001,0.33000001,0,0,0.0099999998,0
"Iran",190.10001,227,14.82,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.589,0,0,0,4,0,0,0,0,425,0,0,12.5,421,98,1087,51,404,397.4595,19.540449,291,356,384,2,0,148,93,329,156,115,839,0.28999999,0,285,69,11,200,313,221,91,492,41,176,0.93900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,7.0999999,21,6,0,0,853,0,0.0099999998,39,2,0,0,11,0,1,245,2,34,335,13,0.1452788,80,0,107,8,503,3022,139,0,335,83,4.4289303,11,0,0,118,0,0,0,8,75,0,1,292,0,304,0,0,0,0
"Turkey",686.40002,79.889999,0,0.02,0,0,0.029999999,0,0,0,0,0,0,0,0,3.6800001,0,0.41999999,0,0,0,0.0099999998,3.1300001,0.61000001,10.18,0,1.02,0.029999999,0.050000001,56.93,2.3499999,0,25.26,0.89999998,4.8600001,433.76999,3.53,181.03,140.6263,6.9136648,215.06,264.26001,176.25999,3.1600001,0,27.059999,115.25,129.78,30.629999,79.269997,508.13,0,0.41,25.48,20.969999,0.0099999998,99.489998,183.25999,237.57001,25.77,89.839996,30.26,18.92,1.04,0,0,0,0,0,0,1.92,0,0,0,1.14,0,0,6.4400001,0.0099999998,3.78,3.5799999,0,0.38,1.2180001,0,0,0.08922372,1.52,0,0.25999999,0.050000001,0,0,0,0,0.039999999,0,0.63,2.0699999,1.92,0.050000001,34.52,0,0,0,0.090000004,0,0,0,72.839996,76.75,39.400002,793.34998,0.27000001,1222.05,0,946.54999,25.01,3.3299999,1.51,11.16,31.719999,268.79001,0,0,168.47,0.090000004,6.8899999,0.6971463,0.02,0,4.77,0,4.6700001,0,11.61,346.54999,3.3900001,0,6.1700001,7.3000002,0,0.31999999,0,0,0.28999999,0.050000001,1.11,0.0099999998,46.490002,18.93,0.2,4.1399999,27.139999,0,9.1199999,0,0,0,0
"Iraq",562.76001,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8499999,0,0,0,0,0,0,0,0.033,0,0,0,0,0,453.20001,0,0,0,10.461,8.8561001,669.23999,22.440001,156.97,166.17999,8.1699715,894.19,220.11,102.168,71.950996,0,0,209.935,156.31,197.604,181.67697,877.90997,6.4239998,0,489.32401,58.453999,10.5017,0,444.45499,0,84.237999,143.55,3.8829999,104.83,0.0275,0,0,0,0,0,1.27281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352,0,0,0,0,0,3.6542001,0,0,0,0,0,0,0,0,0,10.274,0,4.7849998,0,2.9579,0,351.52701,0,4.0700002,0.044,0,78.297997,0,64.900002,0,0,400.51001,0,0,69.496773,0,0,38.5,0,3.96,0,0,695.31,49.810383,0,8.085,9.9659996,0,52.666901,0,0,8.8549995,0,0,0,49.653999,15.598,5.8850002,8.25,99.396004,0.2024,25.058001,0,0,0,0
"Egypt",1657.4399,67.370003,0.41,34.619999,0.0021684607,0,0.0020000001,0.0099999998,0.017999999,0,0,0,0,0,0,0.30000001,0,0.067000002,0,0,0,0.1,25.870001,0.0099999998,3.8699999,0.001,0,0,1.61,70.809998,0.0020000001,0,3.7,44.860001,17.99,368.45001,117.95,358.88,181.6304,8.9295654,709.45001,215.19,349.72,28.780001,0,84.769997,48.41,66.010002,21.959999,136.99001,821.89001,0.16,1.88,180.91,383.98999,7.0599999,30.68,271.57001,199.99001,119.11,200.83,10.12,90.169998,0.30500001,0,0,0,0,0,0,0.19,0,0,0,0,0,0.0089999996,0.27000001,0,3.01,0,0,0.0099999998,0,0,0,0.10313212,3.5699999,0.059999999,9.0600004,2.1099999,0,0,0.039999999,0,0.61000001,0,0.51999998,5.1930318,4.5450001,5.6500001,0,0,0,0,0,0,0.0049999999,0,0.82999998,2.4100001,2.96,1.05,76.279999,0.95999998,84.610001,0.33000001,0,1.62,31.5,1.02,68.110001,238.25,0.07,0.0099999998,10.74,6.3499999,0,13.420066,0,0.44,59.099998,0,92.650002,5.5700002,63.700001,510.47,82.440002,0,2.95,16.700001,0.0099999998,46.900002,0,0.090000004,10.37,0.23999999,0.02,0,2.8800001,50.869999,1.84,12.72,185.94,0.021,6.6399999,0,0,0.001,0
"Syria",198.5,41.509998,0,62.779999,0,0,0.035999998,0,0,0,0,0,0,0,0,0,0,0,0.53100002,0,0,0,0,0,8,0,0,0,0.17,37.889999,0,0,0,8.3100004,0,108.23,11.14,114.44,70.989899,3.490103,345.42001,55.279999,92.699997,4.79,0,100.61,7.8000002,67.010002,32.889999,82.739998,329.47,0.059999999,0,18.959999,74.980003,7.6500001,21.5,84.57,120.11,19.68,45.220001,4.6700001,25.1,0.030999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82999998,0,0.63200003,0,0,0,0,0,0,0,0,0.37900001,0,0,0,0,0,0,0,0,2.2709999,0,0,0,0,0,0,0,0,0,5.8299999,1.66,0.0099999998,9.6000004,5.0900002,1187.67,54.080002,0.02,0.050000001,0,34.540001,17.33,0,6.6700001,2.5899999,0.25999999,0.87,0.0099999998,0.07,0.17,0,0,69.529999,0,0,0,7.9000001,305.26999,13.16,0,1.08,14.91,0,33.52,0,0,12.83,0,0,0,6.1799998,7.3400002,0.56999999,0.80000001,2.2,0,1.51,0,0,0,0
"Lebanon",532.72998,13.09,0.011,0,0,0,0.064900003,0,0,0,0,0,0,0,0,0,0,0,1.3243999,0,0,0.87889999,0,0.83600003,5.5,0,0,0,0,34.408001,0,0,0,6.4349999,0.30250001,135.96001,5.6869998,77,129.6938,6.3761859,403.26001,72.82,111.353,5.8080001,0,0,20.218,22.99,46.320999,52.46249,537.57001,0.31900001,0,20.625,55.043999,74.548103,0,214.632,0,15.774,24.42,5.3239999,19.459,0,0,0,0,0,0,0,0,0,0,0,1.6059999,0,0,0.44769999,0,0.1375,0,2.5223,1.1,0.62809998,0,0,0,0,0,0,0,0,0,0,0,0.1034,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3200001,1.2869999,1.276,0.08045236,7.5767999,0,133.155,0,17.368999,26.224001,0,5.5219998,0,60.5,0.0044,0,34.32,18.094999,0,11.598771,0,0,32.119999,0,29.15,0,19.799999,255.64,1.5336636,0,2.849,0.055,0.059662588,2.2077,0,0,3.7509999,0,0,0,1.122,10.813,1.551,0.33000001,3.96,0,0.33000001,0,0,0,0
"Jordan",359.72,9.5600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0469999,0,0,2.5250001,0,0,0,0,0,0,0,31.98,0,0,0,3.8599999,2.401,180.42999,2.3800001,67.019997,50.85957,2.500428,116.35,42.700001,42.790001,1.61,0,7.02,10.8,20.280001,11.5,10.11,165.56,0.86000001,0,36.880001,59.110001,8.0059996,22.049999,44.950001,38.23,6.8299999,27.370001,2.96,21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,3.2309999,0,0,0,0.025,0,0,0,0,0,5.6399999,0,0,0,0,0,0,0,0,0,3.96,1.1799999,0.38999999,0.073138513,3.0569999,3.28,84.050003,13.09,12.61,38.259998,31.1,0,0,582.04999,0.059999999,0,38.369999,0.1,4.79,14.204355,0,0,32.540001,0,0,0,55.900002,258.69,4,0,2.01,2.5999999,0,8.5100002,0,0,3.52,0,0,0,4.1599998,11.81,0.98000002,7.9000001,9.5500002,1.873,5.0500002,0,0,0,0
"Israel",1722.9,104.7,0,0,0.81534123,0,0.001,0.02,0.0089999996,0,0,0,0,0,0,2.2,0,0.1,0.80000001,0,0,0.80000001,1.4,0.2,0.1,0.12899999,0,9.5,0.30000001,29.299999,0.30000001,1.8,4.0999999,66.900002,23.299999,667.29999,12.3,233.89999,555.49017,27.309771,406.10001,522.70001,124.7,13.9,0,0,0,41,10.4,0,471.29999,0.059999999,0,35,18.5,3,12.6,31.4,0,56.299999,117.2,21.299999,41.900002,0.89999998,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0.69700003,0,0.1,0,1.9680001,1,9.6999998,0,0,0.012071445,0,0,1.3,0.1,0,0,0,0,0.80000001,0,0,0.1,5.0780001,0.505,169.60001,0,0,0,0,0,0.050999999,0,0,0,0,0,0,0,13.6,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13.9,273.70001,24.1,0,0,0,0.090680353,0.097999997,0,0,12.7,0,0,0,0,16.6,2.3,0,46.200001,0,0.69999999,0,0,0,0
