"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Greece",0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.87,0.67,0.44,0,0,0,1.12,1.58,0.24,0.0512,0,0,6.03,0,0,0,0,0,1.2,0,0,0,0
"Romania",0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0.01,12.44,3.9,0.8793,0,0,18.7,13.22,0.68,0.41,0,0,0.57,0,0,0,0,0,0.2,0,0,0,0
"Russia",20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54,60.52,11.99,40.18,5.82,3.74,0,70.44,1.39,30.08,9.05,6.03,0.57,0,2.7,6.31,0,0,0,4.99,10.13,0,0.27,0
"Sweden",0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,4.11,5.58,5.46,0,2.94,0,11.97,0,0,0,0,0,2.7,0,0.09,0,0,0,9.55,0,0,0,0
"Denmark",16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.89,2.16,1.76,2.17,0,0,0,19.7,0,0,0,0,0,6.31,0.09,0,0,0,0,0.0093,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.31,0,0.76,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.96,0,0,0
"Turkey",1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0.16,2.96,7.9,0,0.01,0,0.7,2.76,6.22,0.03,1.2,0.2,4.99,9.55,0.0093,0,0,0.08,0,0,0,0.0797,0
"China",8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,0.96,0,0,0,4.89,0
"Korea",9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0
"Japan",22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,44.03,3.38,0.84,2.62,0,0,21.29,0.19,12.48,0,0,0,0.27,0,0,0,0,0,0.0797,4.89,1.69,0,3.31
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0
