"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"United States of America",0,137.89,0,7.3600001,76.760002,3.8,2.76,2.5799999,1.76,0,15.75,8.3900003,4,10.61,132.95,0.15000001,0,22.290001,34,2.6900001,312.98001,37.07,42.639999,133.92999,23.299999,22.219999,0.97000003,186.03999,18.209999,51.810001,0.75999999,2.5,0.31,0.2,26.27,10.45,8.3800001,3.46,0,0,0,9.9099998,34.139999,87.410004,0.07
"Cuba",65.220001,0,0,0.0099999998,0,0,0,0,0,0,0,0.0044256002,0,0,0,0,0,0,0,0.97000003,12.92,0,0,0,0,12.21,0,8.3999996,0,0,0,0,0,0,0,0,1.0700001,0,0,0,0,0,0,0,0
"Haiti",5.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58999997,0,0,0.81,0,0,0,0.52999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",5.1599998,0.0066617001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72000003,0,0,0.22,0,0,0,1.64,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",49.080002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,13.04,0,1.41,9.2399998,0,3.54,0,12.71,0.94999999,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",4.46,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",3.45,0,0,0,0,0.059999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0,0.14,0,0.039999999,0,0.55000001,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0
"El Salvador",2.6199999,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0
"Nicaragua",2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93000001,0,0,0.25,0,0,0,0.60000002,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",7.48,0,0,0,0,0,0,0,0,0,0,0.079999998,0.050000001,0,0,0,0,0,0,0,7.6799998,0,0.56,1.98,0,0.46000001,0,4.1300001,0,0.57999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",6.2399998,0.0015629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,1.6799999,0,2.73,0,1.08,0,3.1199999,0,0.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",2.72,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0.17,0,0,0,0.079999998,0,0,3.0999999,0.00098470005,0.47,0.62,0,0.38,0,2.1300001,0,0.49000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",51.34,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.039999999,0,8.4799995,0.30000001,0,5.9200001,0,10.6,13.76,0,3.76,0,40.25,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000001,0
"Brazil",48.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,23.42,7.8099999,78.629997,2.3299999,16.799999,28.110001,4.3699999,3.28,14.78,53.709999,4.4499998,12.25,0,0,0,0,0,1.38,1.59,0.55000001,0,0,0,0,0,0,0
"Bolivia",1.72,0,0,0,0,0,0,0,0,0,0,0,0,4.9699998,0,0,0,1.4400001,0,0,3.4100001,0,0,0,0,0,0,6.3699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",17,0,0,0,0,0,0,0,0,0,0,0,0.63,4.8699999,0.87,0.090000004,0,0,4.1500001,0,39.07,0.34999999,3.1500001,7.3499999,0,1.29,0,33.57,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0
"Argentina",67.589996,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,10.91,0,2.4000001,0.64999998,0,2.8499999,135.67,3.9300001,23.280001,43,5.8200002,13.63,0.17,73.099998,3.97,37.139999,0,0,0,0,0,2.6099999,1.67,0.19,0,0,0,0,0,0.88,0
"Uruguay",6.48,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,4.5799999,0,13.82,0,3.5799999,4.54,0,2.47,0.050000001,8.5100002,0.22,3.8900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",607.58002,11.87,1.99,1.25,15.7,1.6799999,0.0099999998,0.38999999,0.50999999,0,4.3299999,2.1400001,2.0599999,14.01,11.32,25.139999,0.0098473998,20.299999,193.75,6.5900002,0,102.63,112.12,197.47,42.27,66.75,7.1199999,324.17999,32.599998,36.549999,0.19,5.0599999,3.23,8.3999996,187.53999,62.720001,30.870001,108.01,0,0,0,27.68,15.63,16.83,1.4400001
"Netherlands",145.87,0,0,0,0,0,0,0,0,0,0,0.72000003,0.28,0,12.75,0,0,4.2800002,42.610001,0,142.82001,0,138.47,12.35,2.3099999,41.880001,0.63999999,423.64999,5.8800001,0,0,2.1600001,0.28,23.860001,117.56,24.110001,18.940001,0.86000001,0,0,0.11,0,0,0.23,0.68000001
"Belgium",79.510002,0,0,0,2.5899999,0,0,0,0,0,0,0,0.0099999998,2.8499999,9.4899998,0,0,12.66,58.700001,7.9499998,97.150002,68.510002,0,174.47,3.54,10.16,1,135.10001,2.6800001,9.0299997,0,1.03,8.2399998,38.610001,52.32,7.52,3.1800001,0.47,0,0,0.039999999,4.73,7.8200002,1.52,0.46000001
"France",172.24001,0,0,0.94,3.5999999,0,0.0040000002,0,0.62,0,0.61000001,7.6100001,4.1500001,24.32,38.299999,0,0,22.42,64.519997,8.8599997,202.82001,29.709999,104.62,0,29.17,44.509998,1.63,193.31,20.6,40.509998,0,3.8599999,1.49,18.76,83.610001,17.889999,3.53,0.89999998,0,0,0.47,19.549999,42.130001,20.040001,0.25
"Switzerland",16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0300002,0,0,0,7.02,0,22.790001,4.2199998,7.5999999,73.449997,0,5.9299998,0.0019569001,126.31,23.879999,37.59,0,0,0.059999999,8.4300003,15.65,1.98,0.039999999,2.0799999,0,0,0.0099999998,0,1.91,3.0599999,0
