"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Hungary",0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,5,0,2.4000001,0,3.5999999,5.9215641,0.2784358,4.0999999,6.1999998,0,0.1,0,0,0,5.1999998,0,0,0,0,0,0,1.6,2.5999999,1.2,0.69999999,0.1,0,0,0,0,0,7.0999999,0,6.1999998,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0.89999998,0,0,0,0,0,0,0,0
"Czechoslovakia",0,0.40000001,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,5.4000001,0,0,0,6.0999999,0.89999998,6.8000002,0,7.0999999,7.640728,0.359272,6.3000002,12.7,0,0.60000002,0,0,0,11.8,0,0,0.2,0,0,0,2.3,14.4,3.9000001,1.7,0.89999998,0,0,0,0,0,6.0999999,0,20.5,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,1.6,4.3000002,0,0.80000001,0,0,0,0,2.7,1.6
"Italy",492.10001,48.599998,0.60000002,5.4000001,1.4,9.8000002,0.60000002,0.69999999,2,0.69999999,1.2,1,1.1,12.8,5.8000002,8.5,37.900002,1,0.40000001,14.7,20.5,8.1999998,133.39999,1,33.599998,64.182114,3.017885,97,88.199997,9,8.6999998,23.299999,8.6000004,12.2,0,0,31.6,10.5,0.69999999,3.4000001,34.099998,9.1000004,41.5,21.299999,34.299999,4.0999999,0,11.4,36.700001,0,7.0999999,20.9,56.799999,45.299999,4.1999998,3.5999999,0,0.40000001,96.800003,0,0,2.0999999,0,0,0,0,6.3000002,19.200001,31.6,4.5,7.8000002,0,0.60000002,4.5999999,11.2,94.599998,14.9
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",72,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,2.0999999,0.2,25.4,0,7.9000001,22.349131,1.050871,28.4,6.1999998,0,0.1,0,0,0,30.4,0,0,0.60000002,0,0,0,0.1,3.3,0.30000001,1.8,0,0,0,1,0,0,24.799999,5.0999999,2.4000001,2.3,0.69999999,0,0.1,0,0,0,0,0,0,0,0,0.1,0.30000001,0.80000001,0,0.1,0,0,0,0.1,5.4000001,1.1
"Greece",75.699997,2.2,8.1000004,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,6.1999998,0,0,1.7,1.3,3,34.299999,0.1,8.8999996,20.725479,0.97452551,27.299999,2.8,0.1,0.5,0,0.1,0.30000001,40.900002,0,2.5999999,0,0,0,0,3.4000001,13.4,1.4,1.8,1.8,0,0,0,0,0,4.8000002,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,4.8000002,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0.60000002,0.4775455,0.0224545,0.60000002,0.40000001,0,0,0,0,0,0.5,0,0,0,0,0,0,0.30000001,0.2,0,0,0,0,0,0,0,0,1.6,0,1.3,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0999999,0,0.69999999,11.65211,0.54788983,1.9,6,0,0,0,0,0,2.2,0,0,0.1,0,0,0,0.2,0.1,0.1,0.5,0,0,0,0,0,0,0.60000002,0,1.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Russia",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.9,0,4.8000002,14.13535,0.66465318,6.4000001,2.4000001,0,5.9000001,0,0,0,20.4,0,0,0,0,0,0,155.2,44.400002,10.2,13.7,0,0,0,0,0,0,2.3,0.1,28.700001,0,0,0,1.2,0,0,0,0,0,0,0,0,0.1,4.1999998,15.4,0,0.5,0,0,0,0,0,0
"Finland",61.099998,3.2,2.8,0,0,2.2,0,0,0,0,0,0,2.5,0.2,0,0.1,22.9,0,0,2.2,11.8,0.5,119,0.40000001,44.200001,25.40542,1.194579,72.900002,8,5,0.2,40.599998,1.5,11.5,11.1,0,0.40000001,3.9000001,0.1,9.1999998,81.800003,0,43.099998,12.9,28.700001,2.5999999,0,0.1,3.2,0,0.1,3.7,0.1,1.4,0,0,0,3.5,0,0,0,0.2,0,0,0,0,3.7,2.5,0.89999998,0.5,0.30000001,0,0,0.1,0.80000001,4.4000001,2
"Sweden",165.7,15.3,0.69999999,0.1,0,6.5,0.30000001,0,0.2,0.2,0.1,0,7,27.299999,0.1,4.8000002,54,0,1.5,7.4000001,32,5.8000002,247.60001,1,91.099998,99.233963,4.6660461,65,35.700001,14.2,4.5,52.299999,1.8,15.5,38.700001,0,2.9000001,2.9000001,2.5999999,0.69999999,20.4,22.299999,0,67.599998,43.299999,1.3,0,0.40000001,8.6000004,0,1.9,8.5,4.5999999,2,0.1,0.1,0,1.9,2.8,0,0,0.80000001,0,0,0,0,20.6,5.8000002,2.8,0.2,4.8000002,0,0.2,2.7,4.0999999,15,2.9000001
"Norway",97.400002,38.400002,0.1,0.69999999,0,0.30000001,0,0,0.1,0,0,0,0,9.5,0,0,19.5,0,0.1,0.2,3.5,0.30000001,174.3,0.1,36.099998,47.659039,2.2409589,31.9,10,9.8999996,2.4000001,4.3000002,0.89999998,5.4000001,11.5,0,0.2,1,0.1,0.2,11.4,11.3,120.8,0,34.599998,0.89999998,0,1.2,1.2,0,0.2,1.3,0,0.89999998,0,0,0,1,0.40000001,0,0,3.0999999,0,0,0,0,6.0999999,4.5999999,0.5,0,1.2,0,0.30000001,2.7,2.4000001,2.4000001,0.40000001
"Denmark",79.800003,4.3000002,0.1,0,0.1,0,0,0,0,0,0,0,0.89999998,1.4,0,0.30000001,23.299999,0,0.5,0.60000002,7.4000001,1.5,260.89999,0.1,55.900002,53.389591,2.5104129,46.599998,21.6,4.9000001,3.0999999,8.5,0.89999998,4,16.299999,0,1.1,0.60000002,0.1,0.30000001,11.1,25.299999,85.599998,35.900002,0,0.40000001,0,0,1,0,0.1,4.3000002,0,1,0,0.1,0,0.69999999,0,0,0,0,0,0,0,0,0.69999999,1,0.1,0,0.40000001,0,0.40000001,0.2,4.4000001,0.2,0.60000002
"Iceland",11.3,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,1,0,0,0,0,0,11.5,0.1,1.3,1.719164,0.080836199,0.40000001,0.2,1.6,0,2.2,0,1.4,0.5,0,0,0,0,0,0,2.0999999,2.2,1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
