"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,121.94,4.3600001,0,0,19.35,0.19,3.99,4.1999998,0,88.400002,33.810001,0,0,0,4.7199998,0.23999999,51.009998,0,7.1999998,0,0,51.189999,0,0,113.77,0,29.74,2.3699999,176.98,2.46,6.9000001,0,29.58,0,0,1.02,11.79,0.46000001,0.44999999,0,0.54000002,1.77,0.22,0,0,18.219999,3.1800001,0,0.07,6.0999999,5.48,8.5100002,0,0,0,0,0,279.04001,0,0.31,0,0
"Canada",577.97998,0,2.3699999,0.27000001,0,0,0,0.0058558998,0,0,0,0,2.47,0,0,0.70999998,0,0.0099999998,0,6.6199999,0,147.85001,0.69,7.21,8.3000002,0,18.790001,5.6199999,0,0,16.02,0.13,0.69999999,0,3.51,4.9400001,0,0.07,0.19,0,0,1.87,0.001254,0.002196,0.005231,0,2.1400001,0.85000002,0.25,0,0.02,3.26,0,0,0,0,0,4.7399998,0,9.1899996,0,0,4.54,6.6199999
"Cuba",91.800003,3.6900001,0,0.38999999,1.15,0.1,0.07,0.15000001,0.039999999,0.0036319999,0.0064449999,0.63,0.37,0.17,0.07,1.05,0,0.079999998,1.3099999,0.28999999,0.99000001,8.8900003,0.69,2.5899999,2.29,0,5.4899998,0.56999999,7.5900002,0.050000001,6.0900002,0.0016129999,0.079999998,0.001701,0.19,1.29,0,0.00034999999,0.000109,0.00014400001,0.02,0.1,0,0,0,0.029999999,0.79000002,1.89,0.22,0,0,0,0.0023320001,0.0027089999,0,0,0,0.38999999,0,1.39,0,0.82999998,0,0
"Dominican Republic",8.54,0.47,0.090000004,0,0.000202,0,0,0,0,0,0,0,0.000088000001,0,0.000038999999,0,0,0,0,0.000002,0,0.88999999,0,0.52999997,0.16,0,0.34,0,0.0071840002,0.000002,0.72000003,0.000037999998,0.00031800001,0,0,0.25,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0.1,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004654,0,0,0,0,0,1.96,0,0,9.6099997,0,0,0,15.51,0.029999999,0.20999999,0,0.41999999,0,0.000066000001,0.000056000001,0.002318,0,0,0,0.000046000001,0.029999999,0.050000001,0,0,0.31,0.039999999,0,0.000062999999,0,0,0,0,0,0,0,0,0.50999999,0,0,0,0
"Guatemala",0,0,0.009993,0.00072499999,0,0,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0,0.37,0,0,0,1.64,0,0.02,0,0.0075920001,0,0,0,0,0,0,0,0,0,0,0,0,0.0099729998,0.0095319999,0,0,0,0,0,0,0,0,0,0,0.28999999,0,0,0,0
"Honduras",11.88,0,0.029999999,0,0,0.07,0,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93000001,0,0.0099999998,0,0,0.02,0,0,0,0.73000002,0.00012500001,0.00057600002,0,0,0,0,0.000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0
"El Salvador",5.7199998,0.059999999,0.0075639999,0,0,0.090000004,0.0099999998,0,0,0,0,0,0,0,0.40000001,0,0,0,0.0099999998,0.0048799999,0,1.52,0,0.07,0.20999999,0,0.66000003,0,0.28999999,0,1.0700001,0.001192,0.0014900001,0,0.090000004,0.31999999,0,0,0,0,0,0,0,0,0,0,0.27000001,0.039999999,0.0068319002,0,0,0,0,0,0,0,0,0.0099999998,0,0.38999999,0,0,0,0
"Nicaragua",0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080159996,0,0,0.0099999998,0,0,0,0.12,0.001531,0.00067500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",5.4000001,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.16,0,0,0.31,0,0,0,3.03,0,0.00060099998,0,0.00164,0,0,0.00073000003,0,0,0,0,0,0,0,0,0,0.23,0.02,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
"Panama",0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0.18000001,0,0.0048270002,0,0,0,0,0.000029999999,0.0000090000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",27.469999,0,0.07,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,7.5100002,0,2.8900001,2.79,0,3.27,0,1.15,0,7.8000002,0,0.07,0,0.039999999,1.54,0,0,0,0,0,0,0,0,0,0,0,0.1,0.25999999,0,0,0,0,0,0,0,0,0,0,0.68000001,0,0,0,0
"Venezuela",35.450001,0.0099999998,0.029999999,0.000871,0,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0.050000001,0,7.6799998,0,5.5799999,2.97,0,3.8599999,0,1.48,0,7.9099998,0.000035000001,0.0058780001,0,0.007706,1.9299999,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.57999998,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0.81,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",20.379999,0,0.02,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,10.243308,0,0,23.33848,0,0,0,67.382706,0,0.0099999998,0,0.0099999998,0,0,0.000386,0.000002,0,0,0,0.00095800002,0,0,0,0,1.7302999,1.2129641,0,0,0,0,0,0,0,0,0,0,9.4468718,0,0,0,0
"Brazil",63.07,0.88,0.0068569998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,431,34.939999,3.4000001,50.650002,0,7.3499999,10.15,0,13.1,2.3199999,2.3099999,5.0900002,29.700001,0.002143,0.69999999,0,0.090000004,9.8100004,0,0.029999999,0.039999999,0,0,0,0,0,0,0,2.77,2.6700001,1.25,0,0,0.02,0,0,0,0,0,0.20999999,0,0.56,0,0,0,0
"Bolivia",5.8200002,0,0.0090370001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,3.52,0,0.079999998,0,0,0.029999999,0,0,0,2.8699999,0.002661,0.0028609999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035029999,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Paraguay",1.0599999,0.050000001,0.00099299999,0,0.001044,0,0,0,0,0,0,0,0,0,0,0.002723,0,0,0.0074129999,1.14,0.0046560001,3.5699999,0,0.029999999,0,0,0.02,0.0037410001,0.0053889998,0.000043,0.17,0.000439,0.004152,0.000444,0,0,0,0,0,0,0,0,0,0,0,0.0027600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002
"Chile",56.41,0.23999999,0.51999998,0,0,0,0,0.13,0,0,0,0,0,1.59,7.1199999,1.5700001,0.12,0.07,0,6.8800001,0,25.85,0,1.8099999,6.6399999,0,8.4870005,1.29,2.05,0,28.629999,0.07,0.18000001,0,0.36000001,5.5500002,0,0.090000004,0.0094020003,0,0,0.003,0.004613,0.0081329998,0.0082980003,0,2.3299999,1.4400001,0.47,0,0,0,0,0,0,0,0,0.12,0,1.3200001,0,0,0,0
"Argentina",138.81,8.5900002,2.8299999,0,9.0100002,0,0,0.00097599998,0,0,0,0,0,0,25.950001,20.110001,0,2.8900001,3.6600001,0,5.25,129.63,0.41,7.6700001,27.790001,0,33.380001,6.1999998,17.52,0.34999999,72.870003,0.88999999,2.25,0,2.22,48.330002,0.000032,0.75999999,0.27000001,0,0,2.1700001,0.059999999,0.029999999,0.029999999,0,5.5,2.1700001,0.75,0,0.003764,0.18000001,0,0,0,0,0,0.5,0,3.8299999,0,0,0,0
"Uruguay",20.84,0,0.56,0,0.66000003,0,0,0,0,0,0,0,0,0,0,6.9499998,0,0.28,0,8.1400003,0,13.94,0,2.0799999,3.78,0,3.22,0,3.51,0,8.3000002,0.001917,0.02,0,0.12,3.49,0,0.0040839999,0,0,0,1.1,0,0,0,0,0,0.090000004,0.000287,0,0,0,0,0,0,0,0,0,0,0.86000001,0,0,0,0
"United Kingdom",701.07001,174.28999,33.099998,7.3200002,0,0,1.95,0.07,0.27000001,9.1599998,0,3.1800001,2.72,0,17.879999,36.509998,28.370001,0.55000001,24.059999,266.29999,30.950001,0,203.99001,188.41,181.59,0,224.44,56.959999,76.919998,16.059999,308.17001,37.970001,15.57,0,29.690001,67.669998,0.0099999998,3.4400001,9.96,0.92000002,19.209999,150.42999,9.6800003,23.07,3.8399999,60.369999,108.08,56.470001,260.95001,0,1.11,57.93,43.290001,8.2700005,0,0,0,39.919998,0,35.049999,0,1.33,189.87,196.2
"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,2.1600001,0.38,0,0,6.46,0.23999999,0,0,0.79000002,0,0,0,0.25,0,0,0,0,0.76999998,0.039999999,0,1.87,0.56,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
