"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,286,104,1.16,5,43,7,7,5,3,3,0,50,21,3,8,100,2,0.74000001,24,65,7,155,1,41,40,0,58,16,20,4,78,9.6199999,3,3,21,39,0.050000001,3.97,10,2,1,18,1,1.36,1,12,41,17,3,0,0.49000001,4,4,8,3,0,0,0,61,0,153,0,0.13,10,2
"Canada",313,0,1,0.039999999,0.001866,1,0,0,0,0,0,0,4,1,0,4,1,0,0.0099999998,0.0020000001,3,0,119,0,5,5,0,7,3,1,0.18000001,10,1,0.33000001,0,2,2,0,0.090000004,0.039999999,0,0,0.20999999,0.02,0.0086420001,0.004317,0,2,0.85000002,0.12,0,0.0079549998,5,0,0,0,0,0,0,2,0,4,0,0,7,3
"Cuba",55,1,0,0.000015,0.0080469996,1,0.00068,0.029999999,0.000064,0.000176,0.0000060000002,0.002172,0.0099999998,0.66000003,0.090000004,0.002176,0.0099999998,0.000151,0.029999999,0.88999999,0.47,0.0099999998,4,0.66000003,1,1,0,2.4300001,0.23,5,0.02,4,0.050000001,0.07,0.005806,0.41999999,1,0,0.002542,0.001572,0.00025400001,0.1,0.0099999998,0,0.0012300001,0,0.0093449997,0.22,0.64999998,0.20999999,0,0.000611,0,0.0028520001,0.0082090003,0,0,0,0,1,0,3,0,3.25,0.0099999998,0.02
"Haiti",4,0.16,0.02,0,0.039999999,0.00066199998,0,0.000018999999,0,0,0.000114,0,0.000116,0.000001,0.00095900003,0.000015,0,0,0,0.0028979999,0.0047880001,0.000001,1,0,0.17,0,0,0.44999999,0.0099999998,0.0099999998,0.000002,0.49000001,0.001405,0.001706,0.001542,0.02,0.090000004,0,0.000002,0,0.000017,0,0,0.000124,0.001044,0,0.00040399999,0.0099999998,0.059999999,0.02,0,0,0,0,0.000001,0,0,0,0,0.000022,0,2,0,0,0.0081129996,0
"Dominican Republic",5,0.14,0.050000001,0.00017699999,0,0.00017699999,0,0,0,0,0.000004,0,0.000145,0.0099999998,0,0,0,0,0,0.000075000004,0.001092,0,1,0,1,0,0,0.0099999998,0,0.0060939998,0,0.23999999,0,0.00046000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mexico",65,1,0.029999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000049999999,0,0,0,7,0,1,1,0,5,1,4,0,13,0.16,0.11,0,0.47999999,2,0,0.00043499999,0.0042790002,0,0,0,0.0034060001,0.001165,0.0067540002,0,1,0.25,0.090000004,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0
"Guatemala",5,0,0.0099999998,0,0.00032299999,1,0,0.0080000004,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12,1,0,0.20999999,0,0,0,3,0.000535,0.0063760001,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Honduras",6,0,0.079999998,0,0,0,0.02,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.007158,0,0,0,0.11,0.000749,0.00031900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"El Salvador",4,0,0.0023399999,0,0,0,0.15000001,0.18000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0095340004,0,0,0.0099999998,0,0,0,2,0,0.0021240001,0,0,1,0,0.000046000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080000004,0,0,0,0
"Nicaragua",3,0,0.001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0043660002,0,0,0.0076720002,0,0,0,1,0,0.00085000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073199999,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0
