"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United Kingdom",990,1038.7001,21.08,9,3.701,10,6.156,64.7,18.855,1.237,94.2,1.623,7.597,8.58,11.845,15.916,9.928,29.98,184.8,19.119,24.7,45.78,66.766,12.698,5.067,134.79,119.64,4.137,0,115.44,2047.7,11.859,0.6413,805,945.6,81.3,122.63,0,12.9,297.54,93.7,37.86,25.1,449.5,52.88,1.6,179.25,49.08,12.459,10.8,238.9,669.7,569.53,414.3001,111.18,271.49,26.147,1.567,1.63,9.236,2.87,15.769,9.132,22.057,0.09,25.61,3.1,1.056,12.346,50.553,46.906,9.026,9.058,221.8,61.401,0.807,1.748,10.335,35.9,21.755,75.964,30.153,0.119,0.94,1.138,9.955,21.8691,2,5.752,64,0.6,2.7,36.6,2.819,64.727,70.81,67.58,26.46,777.8,62.507,752.8,184.8,122.4,22.83,10.1,75.2,33.23,359.12,2622.7,4.449,5.1,1209.6,17.69,351.27,207.7,8.82,21.602,11.3,0.2,64.2,25.9,28.9,458,212.13,0,21.97,0.58,2.41,45.678,10.2,2.4,102.69,1.6,0.461,3.2,0,85.46,234.64,98.4,113.3,932.65,73.91,22.709
"Ireland",15.77,30.31,0.24,8.75,0.016,0.33,1.971,2.1,0.783,0,30.81,1.289,0.03,0.002,0.021,1.788,0.985,3.84,1.08,0.197,3.59,0.28,8.765,1.32,0.196,3.01,10.77,0.301,115.44,0,70.17,18.4521,0.9979,119.71,1.36,12.34,8.93,0,4.68,29.57,8.31,2.18,9.02,42.48,0.26,0.01,2.62,0.38,0.269,0.78,3.95,15.74,55,64.57,12.8,27.26,0.336,0.001,0.01,0.106,0.069,0.996,0.008,0.17,0.002,1.48,0.02,0.004,0.285,0.156,18.315,0,0.603,0.13,0,0.17,0,0.067,0.08,0.521,5.387,7.164,0.023,0.451,0.02,0.035,1.7982,0,5.894,2.87,9,0.02,0.06,0.01,0.493,23.24,0.28,4.36,1.2,0.096,50.8,3.68,2.17,0.07,0.46,1.08,0.18,0.7,97.08,0.099,0.28,52.67,0.22,0.39,1.15,0.22,0.64,5.67,0.02,4.23,0.19,6.05,23.92,9.5,0,1.35,2.01,0.159,0.631,0,9.15,0.26,0.02,0.09,2.55,0,7.84,1.02,1.59,1.4,14.43,9.49,0.036
"Netherlands",1406.2,63,1.55,18.7,2.492,5.1,14.593,5.42,5.808,1.486,91.6,0.175,2.944,12.848,4.641,4.038,2.91,24.92,40.8,6.92,7.77,14.65,39.937,7.619,4.857,29.19,88.59,6.443,2047.7,70.17,0,317.7168,17.1825,595.3,166.6,76.21,107.39,0,68.3,191.88,64.6,2.25,8.6,657.9,18.44,1.1,64.5,77.2,7.544,25.2,68.55,66.4,20.43,105,120.44,359.17,31.427,0.356,0.4,3.041,0.029,10.637,4.738,5.91,3.137,48.95,0.8,1.872,12.416,2.451,13.973,39.309,96.311,1057.2,12.901,1.418,3.427,0.988,28.4,0.383,15.77,9.577,0.546,0.386,1.2,0.307,17.6545,0,0.498,160.9,9.6,9.1,0,2.699,1.429,3.99,42.19,9.2,36.6,6.704,2870.1001,64.3,9.7,42.73,25.01,51.3,13.82,175.32,297.9,8.336,6,83.6,4.7,0.79,42.9,31.37,4.094,34.6,0.4,46.6,6.1,55.5,199.5,18.09,0,26.61,4.55,1.866,4.757,0,0,93.51,0.7,0.089,3.8,0,52.62,60.69,33.8,0.5,111.3,32.04,2.451
"Belgium",139.933,73.2391,2.3053,37.5683,1.2712,7.4947,10.17,4.0509,0.6831,0.2087,14.7996,5.9863,8.7754,12.6461,0.3795,0.1992,2.182,1.9733,53.2217,1.8215,4.2786,8.4054,197.537,15.3024,14.2114,5.5973,55.916,7.8742,11.859,18.4521,317.7168,0,0,201.5972,3.2256,120.171,86.6537,438.0117,5.4076,237.0027,93.8258,15.1981,6.2614,238.787,6.0811,1.1384,34.8076,62.2627,7.6844,23.8122,47.2544,93.3515,46.3342,114.8869,94.8884,202.0244,7.0203,0.1328,0.0569,0.1803,3.0168,5.6352,0.9392,17.0955,0.0474,0.3131,6.0716,7.1437,33.4889,1.9638,5.3791,14.3063,7.0773,39.8451,4.3261,3.5197,1.9258,0.2751,553.0884,1.5369,4.2976,15.3594,8.2726,2.9884,0.0949,1.5938,9.8759,0,2.0397,98.0949,1.1384,9,0.3795,2.4381,5.9957,63.5909,75.1555,16.8014,101.0359,7.2575,177.1211,57.358,16.2227,0.5503,34.0486,47.2449,11.5836,69.3401,1103.8999,4.6012,0.8538,282.4261,8.1493,25.8709,18.1201,51.8651,0.2372,10.7202,9,11.5741,10.5305,3.2256,106.2537,24.3055,0,12.9022,7.0773,5.1609,0.1803,9.2846,0.6641,5.5404,0.0949,0.1897,0,0,12.7315,26.2599,9.6767,3.7948,22.1425,19.1446,0.0664
"Luxembourg",7.5677,3.9608,0.1247,2.0317,0.0688,0.4053,0.55,0.2191,0.0369,0.0113,0.8004,0.3237,0.4746,0.6839,0.0205,0.0108,0.118,0.1067,2.8783,0.0985,0.2314,0.4546,10.683,0.8276,0.7686,0.3027,3.024,0.4258,0.6413,0.9979,17.1825,0,0,10.9025,0.1745,6.499,4.6863,23.6881,0.2924,12.8173,5.0742,0.8219,0.3386,12.9138,0.3289,0.0616,1.8824,3.3672,0.4156,1.2878,2.5556,5.0485,2.5058,6.2132,5.1317,10.9257,0.3797,0.0072,0.0031,0.0097,0.1632,0.3048,0.0508,0.9245,0.0026,0.0169,0.3284,0.3863,1.8111,0.1062,0.2909,0.7737,0.3827,2.1549,0.234,0.1903,0.1042,0.0149,29.9116,0.0831,0.2324,0.8306,0.4474,0.1616,0.0051,0.0862,0.5341,0,0.1103,5.3051,0.0616,9,0.0205,0.1319,0.3243,3.4391,4.0645,0.9086,5.4641,0.3925,9.5789,3.102,0.8773,0.0298,1.8414,2.5551,0.6264,3.75,59.7,0.2488,0.0462,15.2739,0.4407,1.3991,0.9799,2.8049,0.0128,0.5798,9,0.6259,0.5695,0.1744,5.7463,1.3145,0,0.6978,0.3827,0.2791,0.0097,9.0154,0.0359,0.2996,0.0051,0.0103,0,0,0.6885,1.4202,0.5233,0.2052,1.1975,1.0354,0.0036
"France",1639.8999,75.5,3.72,70.2,4.18,9.3,14.061,3.78,1.589,0.101,58.9,2.704,1.961,5.904,1.821,3.141,3.209,37.89,8.8,3.481,3.75,25.37,1.689,14.098,10.699,35.57,26.01,6.888,805,119.71,595.3,201.5972,10.9025,0,648.4,235.46,211.5,0,31,127.93,135.8,17.23,17.8,1441.9998,11.09,0.2,135.11,169.7,24.159,47,26.1,72.7,58.52,319.5,27.12,97.17,5.312,0.459,4.406,10.4,25.346,55.375,23.51,2.383,2.963,2.45,11.6,47.659,36.941,11.638,29.47,59.422,30.037,690.6,109.097,2.292,13.278,45.951,34.5,7.355,18.962,13.981,2.061,2.622,2.2,9.724,134.6145,0,0.302,99.1,0.2,0.4,0.9,8.46,16.92,74.96,226.9301,161.72,100.7,31.149,499.3,143.77,1067.1,305.66,63.36,74.6,11.27,49.64,2976.5,9.146,4.3,877.1,1.24,256.88,1128.8,135.91,0.93,23.4,0.2,28.8,65,12.2,356.9,55.83,0,3.35,10.18,5.358,36.307,0,1.2,21.61,4.5,4.767,12.7,0,112.74,29.14,7.3,12.6,193.67,88.37,2.264
"Switzerland",24,40.5,5.01,11,1.644,3.9,6.28,0.9,0.735,0,61,5.302,3.001,0.056,1.092,9.626,25.804,43.16,50.9,1.019,4.92,14.65,172.871,5.295,3.734,5.69,35.01,1.355,945.6,1.36,166.6,3.2256,0.1745,648.4,0,150.81,96.9,0,33.4,406.24,88.6,4.93,8.5,477.4,5.21,1.4,173.18,53.2,7.46,22.7,187.22,21,51.42,58.7,70.02,9.52,14.661,0.199,9.089,5.424,0.026,2.055,0.605,0.7,0.225,5.73,3.2,0.607,0.828,2.303,4.989,0.749,4.961,49.3,1.885,0.156,0.1,1.211,10.5,0.517,3.515,6.264,0.401,0.377,3.2,4.754,2.9318,3,0.371,144.6,0,0.2,0,0.73,0.958,1.22,18.34,28.58,65.8,1.553,71.6,175.24,26.9,39.07,20.77,41,3.54,81.61,18.1,0.172,0.5,35.9,3.09,0.57,154.4,6.36,3.67,18.8,0,13.9,2.8,1.6,106.5,2.52,0,1.74,8.01,0.363,2.762,9,0.7,14.6,0.1,2.602,4.9,0,15.85,54.28,14.5,5.5,133.2,22.77,1.573
"Spain",1401.7799,47.05,0.31,109.97,0.046,12.56,3.355,0.6,0.367,0.112,11.2,4.869,5.396,1.398,5.816,7.242,7.773,10.13,43.47,3.588,7,7.97,152.366,2.84,2.283,2.67,209.27,3.093,81.3,12.34,76.21,120.171,6.499,235.46,150.81,0,161.69,0,4.89,46.8,22.23,4.93,6.66,432.51,2.38,0.39,67.37,18.26,0.64,14.72,39.15,27.23,46.63,215.98,14.65,24.62,4.46,2.749,13.266,2.3,1.566,6.14,0.03,28.451,0.167,61.05,16.08,0.184,15.034,0.136,18.152,2.543,19.088,13,19.17,1.373,0.35,7.367,13.95,9.496,0.211,1.061,1.652,0.159,0.05,4.295,18.8682,0,0.613,28.35,0.02,0.16,0.2,1.193,0.107,23.78,138.44,15.79,196.94,6.578,226.17,9.98,251.34,3.3,12.56,38.4,4.64,3.54,1900.71,0.129,0.03,112.06,0.49,0.54,0,206.05,0.02,10.38,0,11.47,0.35,16.8,214.26,9,0,10.5,5.41,1.063,5.231,0,0,4.59,0.31,0.02,0.78,0,82.44,3.25,8.25,25.4,19.28,3.58,0.162
"Portugal",176.28,6.06,0.59,20.38,0.029,9.85,0.172,0,0.064,0,3.51,7.004,0.282,1.98,10.175,0.978,1.071,4.4,7.35,0.002,0.76,0.83,44.901,0.36,4.087,1.38,62.91,8.193,122.63,8.93,107.39,86.6537,4.6863,211.5,96.9,161.69,0,0,0.19,3.13,20.42,0.33,0.29,166.14,0.25,0,22.97,3.6,0.799,1.4,14.78,1.19,28.08,23.22,0.03,30.52,32.424,20.879,9,3.29,0.006,0.99,0,0,0.02,6.43,0,0.03,0.39,0.15,0.239,0.16,0.43,0.79,0.366,0.013,0.22,4.04,1.59,0.71,0,1.26,1.21,0,0,1.494,1.8118,0,0.355,19.12,9,0.05,9.07,0.39,0.191,13.69,0.25,1.82,0.1,5.54,151.29,14.36,137.21,4.58,0.08,4.38,0.37,3.05,0.69,0.24,0.53,0,1.55,0,0,14.95,0.36,0.48,0,6.41,1.21,0.55,101.05,1.38,0,2.63,3.56,0.041,0.53,0,9,1.03,9,0,0.31,0,8.32,2.19,3.47,6.03,2.41,3.23,0.055
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.0117,23.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",6,6.5,0,0,0,9,0.06,0,0.022,0,2.7,0.423,0.179,0,0,0.192,0.088,6.91,0.2,0.111,4.84,42.25,8.561,0,9,0.7,3.11,0.913,12.9,4.68,68.3,5.4076,0.2924,31,33.4,4.89,0.19,0,0,100.45,16.6,22.55,0,12.6,0.26,0,37,0.48,0.724,0,7.32,0,10.36,1.2,20.66,29.14,2.89,0,0,0.302,0.195,0.419,0,0,0.122,3.24,0,9.114,9.246,1.412,3.479,0.167,1.299,1.1,0.098,0.01,0,0.058,0,2.839,1.096,0.478,0.468,0.888,0,0.012,0.08,0,9,0,0,0,0,0,0.525,7.16,13.87,2.43,4.1,0.43,10.8,0.42,36.9,0.03,4.72,0,1.29,0.19,0.4,0,0,4,0.08,9.01,9,9,0,0,0,0,0,0,1.1,2.42,0,0.31,1.02,0.039,2.133,0,0,1.89,0,9,0,0,0.84,2.84,0,1.7,3.11,4.96,0.309
"Poland",235.61,16.06,0.01,0,0.407,0,7.548,0,0.056,0.5,3.7,1.775,0.233,9.106,1.175,0.504,0.463,7.11,2.6,0,1.36,47,14.997,0,9,23.78,32.39,0.68,297.54,29.57,191.88,237.0027,12.8173,127.93,406.24,46.8,3.13,0,100.45,0,229.48,81.57,65.58,98.13,1.57,0,54.85,6.02,2.474,26.3,39.58,217.72,105.97,194.22,15.06,18.82,2.18,9,9,1.527,0.089,1.653,0,0,0.048,0.26,0,9.11,1.832,4.223,14.765,0.369,0.214,0.1,0.069,0.022,9,0.08,1.4,7.465,16.824,1.301,0,0.408,0,2.861,0.0427,0,0.006,0,0,0,0,0,0.337,62.8,9.27,2.78,22.1,0.827,16.6,19.67,35.6,9.01,24.25,0,1.45,0,3.7,9.703,0,5.8,1.21,9.41,4.4,9.04,1.562,8.6,0,0,0,0,176.3,8.43,0,2.46,2.07,0.153,4.446,0,0,5,0,9,0,0,32.03,11.83,5.3,35,55.66,13.94,0.051
"Austria",230.1,20.9,0.07,6,0.628,0.7,1.415,0.1,0.102,0,9.1,3.138,3.03,3.896,1.406,5.563,3.645,4,10.3,0.008,4.11,0.33,26.244,1.2,0.332,1.44,10.16,4.294,93.7,8.31,64.6,93.8258,5.0742,135.8,88.6,22.23,20.42,0,16.6,229.48,0,45.51,10.7,55,3.48,2.2,266.26,56.98,3.145,27.2,76.64,49.4,51.78,63.9,41.97,59.97,1.434,1.297,0.1,0.2,0.081,0.592,0.3,0,0.18,8.49,0,0.077,7.865,0.284,4.489,1.01,0.029,11.4,1.089,0.812,1.9,0.018,3.1,1.384,2.226,1.708,0.1,0.031,0.4,0.498,5.4091,0,0.554,10.5,0,9,9,0.2,3.318,3.99,28.16,3.77,74.4,1.717,3.8,20.5,310,3.21,28.72,32,4.42,8.75,3.9,0.037,0.2,12.2,4.92,3.09,5.9,1.82,0.177,9.9,1,9.5,23.8,10.2,59.1,1.33,0,4.8,0.1,0.245,2.876,0,0,1.24,0,0,0,0,6.32,11.47,4.2,0.9,32.88,4.42,0.333
"Hungary",21.97,4.1,0.11,3.42,0.084,0,0.029,0,0.099,9,0.5,0.48,0.3,0.748,0.007,0.08,0.069,1.24,1.2,0.011,6.27,7.66,35.182,0,9,0.14,1.13,0.149,37.86,2.18,2.25,15.1981,0.8219,17.23,4.93,4.93,0.33,0,22.55,81.57,45.51,0,27.85,42.53,1.33,5.35,24.49,5.97,0.363,12.71,31.39,8.63,5.84,8.96,4.36,6.79,0.249,0.003,0,0.9,0.004,0.058,9,0,0.098,6.47,5.98,9.037,0.558,2.585,4.429,0.156,0.097,5.83,0.34,0.019,0,0.211,0,10.665,2.101,0.965,0,0.012,0,1.142,0.1527,0,9,0,0,0,0,0.13,0.178,8.07,2.98,3.64,14.6,7.775,2.5,6.92,23.75,11.47,4.96,1.64,3.3,0.09,1.8,9.019,0,5.88,0.32,9.58,0,0.02,0,5.34,1.86,0,0.36,0,2.81,7.59,0,3.16,0.28,0.045,2.837,0,0,1.78,0,0,21.12,0,13.03,0.9,0,1.4,12.87,0.36,0.174
"Czechoslovakia",2.4,47,0.02,0,0.464,9,0.305,9,9.121,0,3.5,0.703,1.153,0.716,0.329,0.905,0.496,1.43,3,0.233,0.12,7.3,4.248,0,9,1.08,6.44,5.787,25.1,9.02,8.6,6.2614,0.3386,17.8,8.5,6.66,0.29,0,0,65.58,10.7,27.85,0,16.1,1.85,0,91.16,1.49,2.04,0,6.47,0,0.77,1.8,14.56,12.14,3.39,0.008,0,0.475,0.225,0.709,9,0,0.077,0.38,0,9.147,1.423,13.242,10.862,9.748,0.474,14.7,0.323,0.096,9,0.084,2.5,0.5,1.835,0.765,0.356,0.164,0.337,1.542,2.0664,0,9.019,0,0,0,0,0,0.309,4.08,2.91,6.38,11.1,0.086,34.4,0.53,65.7,52.86,20.27,0,4.78,1.8,23,3.263,0,8.5,0.92,9.5,15.8,9.13,2.348,0,0,0,0,0,8.7,36.14,0,9.1,3.74,6.068,2.389,0,0,4.86,0,9.007,0,0,2.89,4.03,1.1,0.3,3.83,1.53,0.281
"Italy",349.6999,236.7,20,37.1,1.466,12,7.12,7.46,1.501,0.03,7.3,13.441,3.096,1.228,14.907,18.317,14.179,9.99,71.5,0.252,7.1,6.57,26.036,0.421,5.561,123.06,377.92,7.835,449.5,42.48,657.9,238.787,12.9138,1441.9998,477.4,432.51,166.14,0,12.6,98.13,55,42.53,16.1,0,51.33,3.5,428.25,185.85,26.97,0.8,51.27,183,21.28,4.2,33.94,73.96,4.27,0.227,1.2,1.853,3.016,1.63,3.248,17.53,2.599,111.82,5.1,1.702,66.802,4.22,4.014,5.275,7.521,211.5,49.93,3.924,0.695,46.72,169.7,0.787,18.293,7.946,1.008,3.576,27.17,21.596,143.9864,0,1.355,77,0,10,11.8,1.328,1.688,71.99,80.1,52.37,1679.2,12.996,944.2,135.38,1086.6,5.99,38.76,187.5,17.82,162.05,2966.6001,1.699,3.1,418.7,14.88,200.14,67.4,85.98,1.97,12.1,0.1,26.6,0.8,25.9,19.1,12.27,0,1.21,14.13,0.88,6.065,0.1,9.4,15.84,0.1,1.384,8.7,0,88.15,66.02,8.5,21.4,61.93,20.38,0.517
"Malta",17.21,3.91,0.09,0.06,0.01,0,0.173,0.01,0.023,0,1.17,0,0.002,0,0.3,0.02,0,0,0.01,0,0.44,0,1.15,0.01,0.04,0.02,4.07,0,52.88,0.26,18.44,6.0811,0.3289,11.09,5.21,2.38,0.25,0,0.26,1.57,3.48,1.33,1.85,51.33,0,9.32,0.07,41.66,2.578,2.29,4.95,5.17,0.93,2.89,0.13,2.85,0.044,0,0,0,0.01,0.118,0.05,0,0.006,0.76,9,0,0.006,0.16,0.69,0.016,0.01,0.36,0,0.028,0.02,0,0.03,0,0.03,0.03,0,0,0,0.02,0.0036,0,0.02,0.13,0,0.02,9,0,0.002,0.22,0.16,0.84,5.99,0,0.16,0.27,0.03,0.02,0.01,0.23,0.04,1.63,0.7,0.015,0,0.3,0.67,9.06,1.62,0.01,0,2.32,0,0.84,9,0.05,7.65,0.43,0,9.43,0.1,0,0.12,0,0,0.03,0,0,9,0,0.01,0.83,0.02,2.99,4.25,2,0.005
"Albania",0,15.5,0,0,0,0,0,0,0,0,0,9,0,0,9,0.001,9,0,9,0,9,0,9,0,0,0,11.89,0,1.6,0.01,1.1,1.1384,0.0616,0.2,1.4,0.39,0,0,0,0,2.2,5.35,0,3.5,9.32,0,1.92,1.84,9,0,0.62,0,0.01,1,0.03,0.83,0,0,0,0,0,9.013,9,0,0,9,0,0,9.001,0,0,0,0,9,0,0,0,9,0,0,0,0,9,9,0,0.03,0,0,0,0,0,0,0,0,9,3.61,0,0,10,0,9,1.92,9,0.47,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,0,0.9,9,0,0.02,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0
"Yugoslavia",67.26,27.08,0,16.96,0.002,0.21,0.366,0,0.021,0,7.37,0.196,1.874,9.98,2.195,5.048,8.581,4.55,5.39,0.56,8.65,17.98,40.801,0.06,0.101,94.06,13.01,0.73,179.25,2.62,64.5,34.8076,1.8824,135.11,173.18,67.37,22.97,0,37,54.85,266.26,24.49,91.16,428.25,0.07,1.92,0,36.1,1.657,14.23,18.81,79.97,7.9,20.33,14.84,19.11,4.199,0,0.07,0,0.763,0.48,0,0,0.086,22.76,6.5,0.056,10.624,0.034,11.769,0,3.337,5.53,2.21,3.208,1.84,0.565,0.2,7.269,2.843,4.242,0.1,0.013,0.25,9.12,37.5327,0,0.147,0.08,0.13,5.18,0.04,0.743,0.05,65.06,4.49,8.22,41.39,8.602,274.32,4.46,187.38,15.44,4.94,11.35,3.41,4.45,8.5,0.038,0.14,8.68,0.18,0.25,7,0.01,0.216,82.24,0.27,0,11.62,3.92,44.93,26.25,0,3.24,3.17,1.344,3.247,0,0.08,0.27,0.01,0,0.02,0,37.49,0.42,18.76,8.77,123.31,20.39,0.006
"Greece",233.42,29.89,2.12,9.49,0.089,0.16,0.084,0,0.004,0,2.95,0.033,0.31,0.188,0.163,0.055,0.155,0.07,7.08,0.062,18.33,0.24,17.985,0.93,1.509,56.42,14.01,3.974,49.08,0.38,77.2,62.2627,3.3672,169.7,53.2,18.26,3.6,0,0.48,6.02,56.98,5.97,1.49,185.85,41.66,1.84,36.1,0,23.949,5.23,2.4,21.03,25.39,31.21,13.55,2.53,2.633,0.28,0,0,0.713,7.543,0.56,0,0.03,9.77,0.12,0.018,10.52,0.097,2.654,0.157,4.003,9.78,15.007,0.007,0.1,5.939,7.49,1.053,2.81,1.485,0.171,0.005,0.39,4.081,13.3318,0,0.04,26.12,0,0,9,1.14,0.013,5.96,14.21,39.82,66.64,3.077,99.27,8.64,103.63,17.56,174.08,41.37,1.23,19.28,170.88,0.034,0.21,0.91,0.14,0.18,0,0.02,0.6,0.25,0,5.26,0.01,1.24,205.03,0.69,0,2.41,0.88,0.24,1.61,0,0,0.59,0,0,0.01,0,6.13,1,0.08,2.63,67.39,29.7,0.007
"Cyprus",25.252,0.3,0,9.035,0,0,0.002,0,0.146,0,0.028,0,0,0,0,0,0,0,0.002,0,0,0.018,1.244,0,0.009,0,0.567,0.15,12.459,0.269,7.544,7.6844,0.4156,24.159,7.46,0.64,0.799,0,0.724,2.474,3.145,0.363,2.04,26.97,2.578,9,1.657,23.949,0,0.495,1.406,4.747,1.385,4.584,1.329,2.684,0.06,0.001,0,0.054,0,0,0.005,0,0.052,0.354,0,0,0.019,0.197,0.529,0.002,0.012,0.157,0.062,0,0,0,0.039,0.01,0.023,0.557,0.002,0,0.015,0.155,0.0543,0,0.001,0.032,0,9.001,0,0.007,0.014,0.105,0,0.321,6.496,0.049,1.581,3.764,15.015,0.761,0.242,1.893,0.535,5.949,15.814,0.015,0.099,1.696,0.37,9.14,1.236,0.149,0.002,0.72,0,1.067,0,0.999,14.443,2.051,0,1.026,0.07,0.005,0.076,0,9.001,0.205,9,9.005,0,0,0.127,0.891,0.069,0.039,0.086,2.117,0.001
"Bulgaria",13,0.8,0,0,9.227,9,9,0,0.002,9,0,0.002,0,0,0,0.035,0.011,1.69,0.7,0,0,0.77,27.621,9,0,4.37,0.97,0.028,10.8,0.78,25.2,23.8122,1.2878,47,22.7,14.72,1.4,0,0,26.3,27.2,12.71,0,0.8,2.29,0,14.23,5.23,0.495,0,23.05,0,2.6,14,2.88,2.29,0.025,0,0,9,9.023,0.051,9,0,0.005,1.44,0,0,9.218,9.085,0.015,0,0.405,5.5,0,9,9,0.319,9,9.007,0.18,0.07,0,9,0,0.14,9.0018,0,0,0,0,0,0,0,0.01,8.99,7.76,8.48,5.9,1.468,25,7.52,30,13.27,8.08,0,4.08,1.07,0.4,9,0,11.7,0.04,9.1,9,9.11,0.27,0,0,0,0,0,51.4,8.72,0,2.81,2.07,0.002,8.097,0,0,1.8,0,9,0,0,1.66,7.76,9.1,6.4,2.38,1.2,0
"Romania",124.32,21.52,0,32.95,0.105,0,0.084,0,0.008,0,1.91,0.029,0.032,0,0.506,0.193,0.054,0.28,0.4,0.016,1.13,0.61,2.959,0,9,17.18,19.24,0.112,238.9,3.95,68.55,47.2544,2.5556,26.1,187.22,39.15,14.78,0,7.32,39.58,76.64,31.39,6.47,51.27,4.95,0.62,18.81,2.4,1.406,23.05,0,9.45,9.2,18.54,3.53,6.62,0.011,0,9,0.179,0.141,0.527,0,0,0.006,0.99,3.33,9.202,2.38,0,1.822,0.012,0.826,4.73,0.008,1.118,9,0.137,1.3,1.202,1.42,0.629,0.536,0.079,0,0.34,1.1064,0,9,0,0,0,0,0,0.05,39.04,48.4,13.83,29.67,7.243,101.99,73.07,12.15,74.16,12.69,29.96,8.84,17.84,6.5,0.109,0,11.8,0.96,10.37,22.1,0.82,9,32.39,1.58,0,7.86,0,98.33,15.64,0,3.79,6.67,0.019,0.494,0,0,2.17,0,0,0,0,7.49,31.09,2.9,6.2,1.32,0.64,0.004
"Russia",241.5,4.4,0.01,0,0,9,23.372,9,0.005,0,2.2,1.407,0.035,0,0.129,0.023,0.031,4.2,0.3,3.486,3.27,1.66,61.518,0,9,5.81,200.24,27.674,669.7,15.74,66.4,93.3515,5.0485,72.7,21,27.23,1.19,0,0,217.72,49.4,8.63,0,183,5.17,0,79.97,21.03,4.747,0,9.45,0,488.66,222.2,29.41,82.72,25.487,0,10.054,10.145,12.054,20.879,1.755,0.81,0.064,10.63,0,0.047,1.763,10.44,1.245,2.228,14.521,70.9,0,0.008,9,0.243,0,7.208,0.405,4.859,0.597,0.946,12.317,2.308,0.3442,0,0,0,0,0,0,0,0.188,26.94,36.62,5.7,36.2,2.234,221.3,17.55,117.4,291.34,63.43,0,12.02,0.05,2.9,8.799,0,16.6,0.32,9,15.1,9.7,19.044,0,0,0,0,0,322,117.37,0,1.6,67.01,3.877,6.955,0,0,11.46,0,9.016,0,0,170.84,86.37,18.4,13.2,228.04,71.87,0.051
"Finland",121.63,2.47,3.81,36.48,0.068,0.28,1.612,0.55,0.489,0,14.83,15.879,2.046,5.588,0.235,20.263,9.53,27.86,17.33,7.034,2.4,2.39,24.266,0.59,0.083,10.96,37.15,0.201,569.53,55,20.43,46.3342,2.5058,58.52,51.42,46.63,28.08,0,10.36,105.97,51.78,5.84,0.77,21.28,0.93,0.01,7.9,25.39,1.385,2.6,9.2,488.66,0,222.41,25.11,73.71,9.226,0,0,0.01,0.006,1.173,0.006,0.01,0.02,2.42,0.19,0.03,0.502,0.455,5.347,0.258,1.706,6.21,0.208,0.068,0,0.297,1.33,0.214,1.095,1.405,0.01,0.007,0.11,3.097,2.69,0,0.06,29.6,0,9.1,2.94,0.14,0.028,0.71,18.05,5.29,5.67,2.82,134.47,1.89,5.45,0.07,4.55,14.56,2.38,19.81,69.15,0.08,0.01,2.3,0.13,0.03,0.75,0.04,0.424,1.2,9.14,3.59,28.28,7.45,81.54,3.35,0,4.54,0.4,0.052,0.54,9,9.02,2.27,0.02,0,0.35,0,6.36,18.08,1.49,2.25,52.11,4.12,0.014
