"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Venezuela",3169.5,1273.1,74.49,0.1,0.89,93.1,134.104,43.53,20.014,0.04,88.5,82.132,51.01,45.512,21.729,53.174,76.923,19.86,0,1.184,22.99,30.53,119.009,0.093,0.062,13.95,28.45,0.889,184.8,1.08,40.8,53.2217,2.8783,8.8,50.9,43.47,7.35,0,0.2,2.6,10.3,1.2,3,71.5,0.01,9,5.39,7.08,0.002,0.7,0.4,0.3,17.33,68.3,3.59,12.23,0.03,0,0,0,0.667,0.675,0.992,0,0.863,2.38,0,9.65,0,0,1.962,7.217,0,0,0.05,0,9,0.003,0,0,0.3,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.07,0.09,0,0,0.1,0.3,3.71,9,0.1,0,2.4,0,0.75,0,9,9,0,0,0,0,0,0,10.7,0,6.6,0.9,12.9,349.1,0.45,0,0.1,0,0,0,0,0,0.19,9,0,0,0,5.8,3.53,0.2,2.7,2,0.2,0.004
"Guyana",24.289,3.606,0.17,0.002,0,0.052,8.49,46.607,2.354,0.406,0.379,0,0.013,0,0,0,0.038,0.133,1.184,0,0,0.24,0.087,0,0,0,1.54,0.105,19.119,0.197,6.92,1.8215,0.0985,3.481,1.019,3.588,0.002,0,0.111,0,0.008,0.011,0.233,0.252,0,0,0.56,0.062,0,0,0.016,3.486,7.034,1.337,2.558,0.474,0.004,0,0,0,9,0,0,0,0,0,0,9,0,0,0.001,9.094,0,0,0,0,0,0,0,0,0.183,0,9,0,0,0,0.0045,0,0,0,0,0,0,0,0,12.131,0,10.394,0,0,0.1,0,9,0.237,0,0,0,0.024,0,0,0,0.3,0,0,0,0,9,6.149,0,1.1,0,0.449,5.389,1.896,0,0.41,0.178,0,0,0,0,0.079,0,0,0,0,0.044,0.405,0,0.005,0.436,0.152,0.002
"Ecuador",266.1,32.79,10.38,0,0.003,0.01,0.173,120.77,0.001,9,6.97,0.723,0.064,0.264,0.03,0.281,135.938,1.06,22.99,0,0,64.1,16.904,0.305,0.195,75.42,3.88,0.114,24.7,3.59,7.77,4.2786,0.2314,3.75,4.92,7,0.76,0,4.84,1.36,4.11,6.27,0.12,7.1,0.44,9,8.65,18.33,0,0,1.13,3.27,2.4,4.93,1.54,2.53,0.043,0,0,9,9,0.001,9,0,0,0.04,0,0,0,0,0,0,0,9,0,9.01,0,0,9,9,0,9,0,9,9,0,0,0,9.1,0.6,0,0,0,9,0,1.87,0,0,1.4,0,3.24,0,9,0.06,0.17,0.2,0,0,0.8,0,0,0.5,0,9,0,0,0,0.73,0,3.59,9.09,0.22,66.13,0.09,0,0.05,9,0,0.3,0,9,0,0,0,0,0,2.73,0.05,0.01,0.62,1.36,7.61,0
"Peru",172.83,39.72,0.79,5.07,0.004,0.23,0.465,0.26,0.019,0,5.8,0.337,0.375,4.316,0.059,0.487,1.188,6.68,30.53,0.24,64.1,0,19.995,1.297,1.307,11.08,11.55,1.752,45.78,0.28,14.65,8.4054,0.4546,25.37,14.65,7.97,0.83,0,42.25,47,0.33,7.66,7.3,6.57,0,0,17.98,0.24,0.018,0.77,0.61,1.66,2.39,18.02,3.45,4.22,0.198,0,0,0,0,0.004,0,0,0,3.31,0,0,0,0,0.001,0,0,0,5.143,0,0,0,0,0,0.02,0,0,9,9,0,1.27,0,0,3.11,0,9.24,0,1.23,0,0,2.66,0,0.76,0.01,0.01,0.02,1.1,0,0,0.07,0,0.19,0.01,0.04,0,0.4,0,9,0,0,0.01,71.5,0,0.58,0.25,0.36,113.29,1.45,0,0.06,0.02,0,0.49,0,0,0.11,9,0,9,0,2.63,2.23,2.67,0.71,1.97,44.19,0
"Brazil",1952.1931,391.312,44.6,0,0.451,4.01,8.289,7.755,0.983,0.028,38.401,3.514,1.051,1.403,1.035,4.796,45.448,8.083,119.009,0.087,16.904,19.995,0,25.553,8.137,76.392,123.1,32.68,66.766,8.765,39.937,197.537,10.683,1.689,172.871,152.366,44.901,0,8.561,14.997,26.244,35.182,4.248,26.036,1.15,9,40.801,17.985,1.244,27.621,2.959,61.518,24.266,178.493,10.048,77.9,0.42,2.214,9,0,0.06,34.255,0.095,0,0.029,3.14,0,9.046,0.265,0.141,0.595,0.42,0.065,15.28,1.022,0.011,9.01,4.666,37.126,0.032,0.94,3.004,0,0,0.03,0.956,70.6081,0,0.03,8.967,0,9,9,0.009,0.068,5.011,60.645,33.921,367.127,2.543,43.306,5.859,634.249,3.59,27.499,9.03,0.27,11.649,1502.248,3.16,0,161.107,0.22,0.478,0.37,91.04,0,18.263,9,2.27,0,35.022,719.119,1.444,0,1.154,13.729,0.001,0.871,0,0,5.115,9,9,0.029,0,5.834,28.912,6.368,10.524,31.179,3.718,0.88
"Bolivia",5.879,0.975,0,0,0,0,0.082,0,0,0,0.146,0.209,0,0.012,0,0.08,0.004,3.68,0.093,0,0.305,1.297,25.553,0,9.869,24.18,32.74,0.168,12.698,1.32,7.619,15.3024,0.8276,14.098,5.295,2.84,0.36,0,0,0,1.2,0,0,0.421,0.01,0,0.06,0.93,0,9,0,0,0.59,5.04,0.07,0.96,0.001,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,9,0,0,0,9,0,9,9,0,0,0,0,0,20.828,0.41,0,0,0.02,0,0,0,0,0,0,9,0,0,0,0,0,0.1,0,0.08,0
"Paraguay",5.693,1.163,0,9,0,0,0.016,0,0.028,9,1.815,0.001,0,0,0.002,0,0,0.167,0.062,0,0.195,1.307,8.137,9.869,0,1.353,10.259,0.535,5.067,0.196,4.857,14.2114,0.7686,10.699,3.734,2.283,4.087,0,9,9,0.332,9,9,5.561,0.04,0,0.101,1.509,0.009,0,9,9,0.083,2.051,0.069,2.418,0.001,0,0,0,9,0.004,0,0,0,0.04,0,9.004,9,0,0,0,0.034,0,0,0,0,0.101,0,0,9,0,9,0,0,0,9,9,0,0.48,0,0,0,0,0,0.41,8.898,5.736,0,0,0,0,9,0.01,9,9.01,0,0.05,0,0,0,0,0,9,0,0,0,0,0,1.401,9,0.027,2.173,0.266,0,0.013,0.01,9,0.003,0,0,0,0,9,0,0,0,0,0,0.2,0,12.38,0
"Chile",87.23,12.83,0.03,4.49,0.019,0.01,0.023,0.01,0.003,9,10.34,0.912,0.012,0.45,1.931,1.889,1.887,15.29,13.95,0,75.42,11.08,76.392,24.18,1.353,0,144.02,2.982,134.79,3.01,29.19,5.5973,0.3027,35.57,5.69,2.67,1.38,0,0.7,23.78,1.44,0.14,1.08,123.06,0.02,0,94.06,56.42,0,4.37,17.18,5.81,10.96,21.96,0.38,7.89,0.002,0,0,0,0,0.027,9,0,0.004,0.03,0,9.001,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3.35,0,0,0,0,0,0.04,3.05,6.15,0,0,10.82,0,7.6,0,0.01,2.45,0,0.52,87.19,9,9,0,0,0,0,9,0,104.3,0,4.52,0.44,8.61,354.83,0.44,0,0.15,3.58,0.001,1.15,0,0,1.84,0,0,9,0,6.72,0.44,0.29,0.46,88.75,30.71,0.001
"Argentina",207.29,44.26,0.2,76.49,0.036,1.66,0.757,0.75,2.289,0,2.65,3.406,1.825,2.23,0.265,5.399,6.447,11.33,28.45,1.54,3.88,11.55,123.1,32.74,10.259,144.02,0,57.856,119.64,10.77,88.59,55.916,3.024,26.01,35.01,209.27,62.91,0,3.11,32.39,10.16,1.13,6.44,377.92,4.07,11.89,13.01,14.01,0.567,0.97,19.24,200.24,37.15,34.8,2.87,19.21,0.315,0,0,0.3,3.595,0.989,0.18,0.56,0.01,0.07,0,0.011,0.018,0.236,12.061,0,0.009,2.48,0.22,0.004,0,0.001,6.15,3.72,2.529,11.426,0,0,0.17,0.111,0.9273,0,0.01,9.41,0,0,9.04,0.04,0.01,12.78,10.33,9.31,224.27,0.07,38.1,0.36,17.8,14.81,3.94,4.33,0.02,20.96,70.16,0,0,10.79,0.01,0.11,0,0.03,0,89.88,0,6.24,13.32,9.81,163.01,42.77,0,0.38,12.45,0,2.79,0,0,2.97,0.03,0,16.8,0,9.32,18.15,0.74,2.75,6.79,1,0.011
"Uruguay",18.22,4.87,0,0,0,0.559,0.244,1.085,0.014,9,0.722,0.017,0.379,0.04,23.271,0.049,0.019,1.338,0.889,0.105,0.114,1.752,32.68,0.168,0.535,2.982,57.856,0,4.137,0.301,6.443,7.8742,0.4258,6.888,1.355,3.093,8.193,0,0.913,0.68,4.294,0.149,5.787,7.835,0,0,0.73,3.974,0.15,0.028,0.112,27.674,0.201,4.263,0.017,0.351,0.005,0,0,0,9,0.001,9,9,0,0.28,0,9,0,0.001,0,0,0.004,22.909,2.97,0,0,0,0,0.08,0,0.095,9,0,9,9,0,0,9,3.638,0,0,0,0.006,0,1.695,0,6.281,0,0,9.121,1.378,22.522,0.49,9,9.051,0,7.26,0,9,0,77.107,0,9,0,9,9,0.001,9,0.671,0,0.436,1.166,0.876,0,0.043,0.75,9,0.346,0.005,9,0,0,0,9,0,2.836,0.046,0.205,0.262,0.838,0.47,9
