"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"United States of America",0,41998.602,1524,0,264.20001,827.79999,418.5,2454.2,99.099998,0.061999999,0.51700002,0,0.65333331,12835.2,465.39999,474.89999,444,226.60001,405.20001,352.5,1326.9,5571,135.3,125.7,953.29999,1442.7,4000,188.60001,84.599998,558.70001,791.90002,103.1,10272.5,434.89999,2043.9,1920.022,85.977592,5548.6001,2866.8999,1342.1,305.89999,0,48.5,459.60001,406.79999,117.9,74.699997,4687.7002,9,12.4,476.60001,320.20001,6.5,27.200001,341,485.70001,480.20001,1704.8,2733.7,768.70001,210.39999,0,0,0,0,0.2,0.5,9.5,0.25799999,0.30000001,0.31900001,303,120.5,0.30000001,147.89999,80.099998,214.3,16.799999,638.20001,11518.2,360.5,8.6999998,0,149.2,404.29999,131.3,58.799999,34.299999,42.400002,70.599998,0.40000001,0,90.900002,780,112.8,205.2,41.799999,28.9,3427.7,0,88.699997,62,96.900002,3.3,54.700001,0.60000002,40.799999,6881.1001,62.5,8904.5996,18.700001,477.89999,186.5,482.20001,571.5,27.6,33.900002,2.5,978,13469.3,1.3,19.299999,520.70001,16.6,249.89999,3163.2,362.79999,6.5,1164.4,2.2,7366.3999,0,4432.6001,32972.801,1209.5,0,140.3,100.2,9.1000004,140.2,0,6.3000002,866.40002,0,1,0,2687.8999,1984.6,1913,5539,2782.2,56.799999,793.29999,14.998,37.269001,1.6
"Canada",45321.398,0,35.299999,147.60001,5.9000001,16.4,47,10.7,10.9,0.001,0.53200001,0,0.093333334,324.70001,23.6,37.299999,25.299999,29.799999,33.200001,43,95.099998,2048.8999,33.5,6.9000001,38.299999,87.5,325.70001,15.7,4.0999999,89.400002,33.900002,8.1000004,1849.9,93.699997,248,224.4493,10.05072,720.79999,489.70001,175.39999,48.599998,0,8.8999996,67.699997,89.699997,24.299999,59.400002,572.29999,1.8,0,31,21.299999,0.80000001,4.4000001,35.599998,55.599998,62.599998,389,75.400002,112.3,5.5999999,0,0,0,0,0,0,1.5,2.552,0,0.018999999,3,37.700001,0.090000004,4,0,4.5999999,0.23999999,0.60000002,39.299999,6.3000002,0,0,0,7.8000002,1,16.6,4.5,0,0,0,0,0.69999999,16.700001,3,0.227,0,0.5,329.70001,0,0,0,0.69999999,0,0.044,0,10.3,11.3,0.30000001,0.2,0.80000001,3.3,10.5,215.5,9.6000004,2.4000001,0.89999998,0,51.099998,2295.3999,0,0,158.2,0,0.1,58.099998,0.0099999998,0.1,145.39999,0,523.90002,0.60000002,389.79999,2622.2,88.599998,0,14.5,10.9,0.1,16.1,0,0,23.299999,0,0,0,78.400002,140.89999,95.599998,27.4,477,1,137.89999,0,28.4,0
"Bahamas",395.70001,21.799999,0,0,0.32699999,0,1.522,34.529999,0.47,0,0,0,0.011481482,1.4,0,0,0,0,0.012,0.48199999,0.41999999,43.799999,0.082999997,0.0080000004,0,126.58,7.4499998,0,0,0,1.0700001,0.2,179.8,0.97000003,12.4,1.818566,0.081434399,10.7,5.3000002,3.2,0.20999999,0,0,0,0.1,0,0,2.0999999,0,0,0,0.12,0,0,0,0,0.039999999,0.2,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.985001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096.6,0,0,0,0,0,0,0,0,0,150,0,0,0,0,81.389999,29,0,0,0,0,0,0,0,15.3,0.80000001,0,0.0099999998,0,0,0.030999999,0,0,0.07,0,0,0,0,0,0.80000001,33.400002,0.43000001,0,0.81,0,0,0
"Cuba",0,340.39999,0.07,0,0,0,0.71799999,0,0.0020000001,0,0.079999998,0,0,26.799999,0,0,0,0,4.3509998,0.47999999,5.5799999,98.5,0.017000001,0.79100001,0,13.15,0,0,0,0,66.32,0,82,20.82,45.200001,26.417061,1.182942,265,27.6,188.73,8.9099998,0,0,83.089996,8.8000002,45.959999,123.203,54.299999,0,0,8.25,0,0,0,75.459999,0,6.5300002,52,2.1700001,7.3699999,8.0509996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2399998,0.41999999,4.4200001,0,0,0,0.54000002,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,92.800003,0,0,0,0,240.5,6.46,0,0,0,0,0,0,0,11.39,0,0,0,1.7,4.8099999,0.1,0,1.49,0,0,0,0,0
"Haiti",188.946,17.577,0.075999998,0,0,4.9889998,1.191,7.6659999,0.21799999,0,0,0,0,1.1569999,0.48300001,0.142,0.052000001,0.40599999,0.125,1.618,0.82599998,0.207,0,0.2,0,0.057999998,5.6539998,0,0,0.048,0.67400002,0,5.5609999,0.028999999,5.8730001,2.3737071,0.1062933,12.26,1.933,2.0209999,0.035,0,0,0.514,0.161,0.107,0.78200001,2.572,0,0,0.001,0.078000002,0,0.037999999,0.226,0,0.126,0.759,1.485,1.2920001,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,1.536,0,0,0.0070000002,0,0,0,0.11,0,0,0,0.001,0,0,0,0,0,0.071000002,0,0,0.001,0,0,0.014,0,0,0,0,0,0,0.0020000001,0,0,7.8670001,0,0,0,4.3039999,19.316,0.050000001,0,0.113,0,0,0,0,0,0.64300001,0,0,0,0,0.491,0.11,0.077,0.043000001,0,0.219,0,0,0
"Dominican Republic",702.40002,38.400002,0.0099999998,0,3.5699999,0,1.55,7.2199998,0.1,0,0,0,0.0037037036,10.48,6.21,2.4400001,1.45,0,2.6500001,10.49,5.9000001,331.57999,0.0099999998,0.13,0.02,0.60000002,12.83,0,0.02,11.81,1.34,0.0099999998,21.08,0.94999999,16.26,11.55268,0.51732278,17.889999,9.1700001,25.32,0.85000002,0,0.029999999,0.07,2.6199999,0.090000004,0.31,27.32,0,0,0.25999999,0.0099999998,0,0,0.0099999998,1.01,1.1799999,2.4200001,5.9099998,1.8099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0700002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28999999,0,0,0,0,0,0,0,0,0,0.050000001,0,24.41,0.050000001,6.6300001,125.92,0.34,0,0.039999999,0.75999999,0,0,0,0,0.02,0,0,0,0.23,0.16,0.23,0,0.46000001,0,2.9000001,0,0,0
"Jamaica",371.668,70.208,0.0040000002,0.91100001,0.205,0.85600001,0,43.373001,6.5159998,1.501,0.417,5.8369999,0.207,5.5609999,0.639,1.257,10.501,0.102,0.50999999,0.42500001,1.023,198.69299,24.426001,0.108,0.62800002,0.15700001,1.451,0,0,0.0070000002,3.2539999,0,78.863998,0.82300001,18.357,6.8244071,0.30559331,8.1549997,2.8870001,0.65799999,0.25,0,0.71899998,0.373,0.092,0.66500002,0.0040000002,1.8609999,0.090000004,0,0.91500002,0.20900001,0.113,0,0.0049999999,0.39700001,2.3499999,1.374,3.948,1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15700001,0,0,0,0,0,0.046,0,0.082000002,0.0099999998,0,0,0,0,0,0.003,0,0,0,0.0020000001,0,0,0,0,0,0,0,0.090000004,0.003,0,0,0,0.0089999996,0.0080000004,0.021,0,0,0,0,0.0080000004,0.193,0,0,0.001,0,0,0,0,0,0,1.548,0,4.0149999,0,1.615,23.867001,0.26800001,0,0.153,0.0060000001,0,0.152,0,0,0.079999998,0,0,0,0.29699999,0.27399999,0.119,0.78600001,3.777,0.0040000002,4.8709998,0,0,0
"Trinidad and Tobago",836.78003,123.97,1.8,0.27000001,0.07,0.27000001,46.84,0,25.940001,0.44800001,1.61,0,4.0744443,2.49,0.28,20.84,0.039999999,0,1.54,45.16,15.95,9.9499998,23.91,1.22,0.07,3.6700001,18.709999,0,0.0099999998,0.0099999998,3.3199999,0.0040000002,314.94,4.3099999,22.969999,15.33338,0.68662071,22.690001,6.5799999,5.4000001,3.01,0,0.44,0.95999998,12.43,0.28,1.23,10.81,0,0,0.079999998,0.49000001,0,0,0.050000001,0.19,0.81999999,13.95,6.9899998,8.6899996,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.0099999998,0,0,0.029999999,0,0,0,0,0,0,0.11,0.17,0,0.039999999,0,0,0.0099999998,29.08,0.15000001,0,0,0.029999999,0.0099999998,0,0,0,0,0,0,0,0.20999999,0,0,2.1400001,0,0.0099999998,0.47999999,0.0099999998,0,0,0,0,0.38999999,964.91998,0,0,0,0,0,0,0,0,7.1799998,0,30.59,0.1,3.0699999,210.63,3.52,0,0.039999999,0.0099999998,0,0.0099999998,0,0,0.25999999,0,0,0,1.45,3.6700001,0.19,135.56,25.049999,0,14.25,0,0.0099999998,0
"Barbados",178.772,35.612,0.045000002,3.267,0.1,0.59299999,10.534,72.846001,0,0.52999997,0.27599999,0,0.87925929,0.93000001,0.189,0.71600002,0.039999999,0,0.329,0.15899999,0.66299999,23.525,4.3759999,0.223,0.0080000004,0.046,6.9809999,0,0,0.025,1.261,0.192,72.239998,1.763,4.71,1.952565,0.087434798,4.9660001,1.2,1.262,0.551,0,0.057999998,1.268,0.377,0.155,0.63599998,4.5669999,0.001,0,0.050999999,0.017999999,0.0040000002,0,0.024,0.47400001,0.044,0.59600002,2.4990001,1.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0.0080000004,0.011,0.18000001,0.027000001,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0.001,0,0.0040000002,0,0.048999999,0,0.0049999999,0,0,0,0,0.003,0.015,0.0070000002,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0.86199999,0,5.441,0.014,0.898,22.815001,0.465,0,0.001,0,0.030999999,0.28999999,0,0,0.294,0,0,0,0.234,0.118,0.324,0.546,9.7089996,0,5.6599998,0.017000001,0.0040000002,0
"Dominica",10.66,1.979,0,0,0.0040000002,0.38999999,0.833,3.9530001,1.9349999,0,0.17900001,1.704,1.327,0.1,0,0.093999997,0,0,0.079000004,0,0.059999999,0,0.96899998,0.097999997,0,0,0.039999999,0,0,0,0.079999998,0,11.027,0,0.75300002,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.029999999,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0.23,0,0,0
