"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Uruguay",5,2.1,6,0,0.1,1,0,0,0,0,0,0,0.8,16,1.3,9,9,1.1,4.4,6,0.9,0,4,0.4,0.6,2.7745,0.1255,8.5,3.2,1.2,0.1,0,0,0.2,3.9,0,0.2,3.3,0,0.2,0,0.8,3.2,0.1,0.3,0,0,9,0.1,0,0,0.5,0,0.7,9,0,0,0.1,1.1,9,9,0,9,0,0,0,2.9,0,9,0.4,9,0,0.44,0.7,0.77,0.88
"United Kingdom",563.3,290.4,113.28,1.7,61.61,32.6,3.2,1.02,1.6,1.68,2.8,2.79,17.5,7.4,3.23,39.8,2.47,35.32,3,0.4,160.3,4,0,72,148.8,41.1393,1.8607,232.1,32.4,81.9,4.3,37,4,14.7,152.6,0,0.7,23,0.8,1.6,100.7,183.4,96.2,67.5,60.3,9.3,0,2.1,297.4,0,43.3,37.6,5.1,13.6,7.4,12.7,0,17,94,0,0,15.9,0,0,0,0.2,113,3,17.7,50.1,0,23.6,4.86,33.6,326.97,120.11
"Ireland",63.2,23.8,9.59,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,1.7,0,0,0.4,2.2,0.4,72,0,10.7,10.6197,0.4803,6.1,0.1,2.9,1.8,3.5,0,2.5,4,0,0.2,4.4,0,0,0.4,7.8,15.6,1.2,5,0.1,0,0.1,1.7,0,1.4,2.3,0,0.2,0,0,0,0.3,1.1,0,0,0.8,0,0,0,0,19.6,1.5,0.1,1.2,9,0.2,2.4,1.5,10.84,4.6
"Netherlands",152.7,10.7,34.93,1.7,0.47,0.2,1.1,0.2,1.4,0.02,0.5,0.34,0.8,3,1.01,5.9,19.81,0.28,0.7,0.1,9.6,0.6,148.8,10.7,0,179.9603,8.1396,12.8,5.1,2.5,3.1,1,0.7,1.8,2.6,0,4.7,1.6,0.4,0.3,12.3,1.2,16.6,12.3,27.5,2,0,0.3,15.5,0,7.6,7.1,8,7.5,28.5,3.4,0,6.7,10.6,0,0,16.8,0,0,0,0.2,8,2.3,3.1,2,0,2.7,6.5,94.6,7.52,0.87
"Belgium",168.8624,39.4172,4.3148,7.3668,0.9567,5.6447,1.4351,0.287,0.9567,0.3444,0.1913,0.1339,8.8976,7.5581,0.421,5.7404,31.4668,1.2437,2.8702,1.1481,9.1846,2.7745,41.1393,10.6197,179.9603,0,0,52.1417,31.4763,3.1572,19.8043,2.0091,5.0707,8.3235,14.7336,0,6.4101,21.7177,0.0957,2.3918,3.2529,12.6288,26.6927,21.335,33.1028,1.2437,0,2.2005,12.3418,0,9.0889,10.811,2.9659,7.5581,1.3394,4.3053,0,12.3418,0.4784,0,0,3.6356,9,0,0,0,9.1846,12.3418,2.1048,2.4875,0,0.574,14.0926,6.7928,34.0978,4.1713
"Luxembourg",7.6377,1.7828,0.1952,0.3332,0.0433,0.2553,0.0649,0.013,0.0433,0.0156,0.0087,0.0061,0.4024,0.3419,0.019,0.2596,1.4232,0.0563,0.1298,0.0519,0.4154,0.1255,1.8607,0.4803,8.1396,0,0,2.3584,1.4237,0.1428,0.8957,0.0909,0.2293,0.3765,0.6664,0,0.2899,0.9823,0.0043,0.1082,0.1471,0.5712,1.2073,0.965,1.4972,0.0563,0,0.0995,0.5582,0,0.4111,0.489,0.1341,0.3419,0.0606,0.1947,0,0.5582,0.0216,0,0,0.1644,9,0,0,0,0.4154,0.5582,0.0952,0.1125,0,0.026,0.6374,0.3072,1.5422,0.1887
"France",235.7,24.9,7.45,0.6,0.67,24.8,0,0.1,0.8,0.18,0.3,0.55,5.2,19.6,0.94,2.9,15.59,0.34,0,14,7.2,8.5,232.1,6.1,12.8,52.1417,2.3584,0,69.2,0.5,3.8,7.4,1.7,1.5,35.9,0,8.1,12.7,0.5,2.5,8.8,13.9,10.1,6.7,17.7,0,0,0.9,36.5,0,22.7,6.1,95.9,2.7,0.6,14.1,0,16.8,104.7,0,0,15.5,0,0,0,0,16.2,65,0.2,3.9,0,2,6.19,19.1,152.32,43.55
"Switzerland",75.5,18.3,3.12,1.4,0.48,3.3,2.3,0.09,0.6,0.4,1.3,0.22,5.6,5.3,1.7,4.1,23.45,1.77,0.3,3,5.9,3.2,32.4,0.1,5.1,31.4763,1.4237,69.2,0,3.2,4.5,1.8,3.1,5.2,25.1,0,3.6,0.5,0.6,6.4,0.4,4.9,6.3,2.9,8.9,0,0,1,4,0,12.2,4.6,0.4,3.4,0.2,2.2,0,7.4,1.5,0,0,12.9,0,0,0,0,13.5,3.5,0.4,0.8,0,3,5.64,3,8.03,1.87
"Spain",5.2,7.2,8.66,0,1.45,2.5,0.1,0,0.1,0,0.1,0.01,0.4,4.8,0,0.7,4.27,0.26,0,5,5.5,1.2,81.9,2.9,2.5,3.1572,0.1428,0.5,3.2,0,2.9,0,0,0.2,2.3,0,0,0.1,0,0,0,2.6,5.8,1.8,3.9,0.6,0,0.1,0.6,0,2,0.7,0.1,7.4,0.6,0,0,0.3,12.9,0,0,0.1,0,0,0,0,3.7,6.5,0,0.2,0,0,0.19,0.1,5.21,0.11
"Portugal",15.8,4.7,1.23,0,0,3.7,0,0,0,0,0,0,0,0,0,0.3,4.24,0,0,1.2,1.2,0.1,4.3,1.8,3.1,19.8043,0.8957,3.8,4.5,2.9,0,0.2,0,0.2,0.7,0,0,0.6,0,0,3.3,0.2,3.4,2.1,3.5,0.4,0,0,1.2,0,0.1,0.2,0.2,1.5,0,0.2,0,0.2,14.1,0,0,0.3,0,0,0,0,0.9,4.3,0,0.2,9,0,0.11,0.7,1.06,0.55
"Poland",10,32.1,0.33,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,37,3.5,1,2.0091,0.0909,7.4,1.8,0,0.2,0,0,9,10.7,0,0,0,0,0,0,28.4,21.2,0.1,19.3,0.2,0,0,0,9,9.4,1,0.1,1.7,0,0.2,9,1.6,0,9,0,0,0,0,0,0,0.1,14.1,0,0.8,0,0,0,1,30.57,20.4
"Hungary",2,0.9,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,9,0,0,0,0,4,0,0.7,5.0707,0.2293,1.7,3.1,0,0,0,0,9,0.8,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.4,0,0,10,9,9,0.8,1,0.8,0.8,0.3,9,0.9,0,9,0,0,0,0,0,0,0.4,0.7,0,0,0,0,9,0.9,2.89,0
"Czechoslovakia",23,4.7,1.32,0,0.33,1.5,0.8,0,0.2,0,0,0,0,1.5,0,1.4,5.03,0.11,0,0,9,0.2,14.7,2.5,1.8,8.3235,0.3765,1.5,5.2,0.2,0.2,9,9,0,0.8,9,0,0.2,9,9,9,2.6,4.4,0.3,2.6,0.1,0,0.4,5,9,4.2,1.9,2.9,21.3,1.7,1.9,9,2.6,9,0,0,9,0,0,0,0,3,3.1,0.3,1,0,9,0,2.1,9.2,1.33
"Italy",305.2,33.9,0.81,3.9,0.06,6.6,0.4,0.1,0.3,0.2,0.4,1.66,3.3,3.1,3.35,0.7,14.03,0.16,0.2,12.1,56.5,3.9,152.6,4,2.6,14.7336,0.6664,35.9,25.1,2.3,0.7,10.7,0.8,0.8,0,0.1,20.6,29.5,0.4,0.8,1.7,5.9,1,2,14.4,1.6,0,0.7,3.7,0,19.2,14.1,10.4,6.1,7.3,3.1,0,13.5,81.8,0,0,7,0,0,0,0,26.6,18.1,0.9,9.3,9,3.1,1.83,5.6,59.54,5.44
"Albania",0,9,0,0,9,0,9,0,0,9,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
"Yugoslavia",121.5,4.2,2.3,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.14,0,0.2,0,8.4,0.2,0.7,0.2,4.7,6.4101,0.2899,8.1,3.6,0,0,0,0,0,20.6,0,0,1.5,0,0,0,0.3,0.7,2.2,2.4,0,0,0,0.2,0,0.5,0.4,7.9,3.2,0.9,0.1,0,2.1,0.1,0,0,0,0,0,0,0,0.6,0.6,0,0.7,0,0,0,0.5,7.89,3.9
"Greece",95.8,1.8,13.9,0,0,0.7,0,0,0,0,0,0,0,0,0,0,6.32,0,0,3.4,0.3,3.3,23,4.4,1.6,21.7177,0.9823,12.7,0.5,0.1,0.6,0,0,0.2,29.5,0,1.5,0,0,0,0,1,15.3,2,2.3,1.3,0,0,0,0,11.8,7.5,0.3,3.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,4.59,0
"Bulgaria",1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.8,0,0.4,0.0957,0.0043,0.5,0.6,0,0,0,0,9,0.4,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,9,9,0.2,0,0.1,0.1,0.2,9,0.9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.18,0
"Romania",0,3.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,0,0.3,2.3918,0.1082,2.5,6.4,0,0,0,0,9,0.8,0,0,0,0,0,0,5.3,2.4,0,0.1,0,0,0,0,9,9,0.4,0,0.9,0.6,0.1,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0
"Russia",29,42.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0.4,12.3,3.2529,0.1471,8.8,0.4,0,3.3,0,0,9,1.7,0,0,0,0,0,0,80.2,20.3,1.9,8.8,0,0,0,0,9,27.8,2,0,13,0.1,0,0,0.1,0,0,0,0,0,0,0,0,12,2.9,0,0.3,0,0,0,0,10.68,3.07
"Finland",20.2,2.3,1.91,0,0,0.6,0,0,0,0,0,0,0.9,0.5,0,0.5,4.45,0,0,0.2,20.2,0.8,183.4,7.8,1.2,12.6288,0.5712,13.9,4.9,2.6,0.2,28.4,0.1,2.6,5.9,0,0.3,1,0.2,5.3,80.2,0,12.8,8.6,5.1,0.1,0,0.1,6,0,0.1,0.4,0.4,12.1,0.9,0.5,0,1.4,0.1,0,0,0,9,0,0,0,3,5.2,0.1,1.2,9,0.4,0.1,0.5,4.72,1.83
