"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8900003,0,1.45,3.25,1.21,0,0,17.799999,18.700001,2.8199999,0,0.31999999,0,1.73,0,0,0,0,0,0,2.5,0,0,0,0
"Russia",20.370001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.689999,6.27,3.71,13.16,2.3399999,0.93000001,0,120.34,10.03,4.7800002,0.0099999998,0.15000001,0.75,0,2.4400001,3.9100001,2.1099999,0,0,9.6899996,2.9400001,10.03,0,0,0
"Sweden",11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.77,3.8199999,2.8399999,4.3800001,0,1,0,61.950001,0,0,0,0,0,9.8199997,0,6.52,10.98,0,0,0,0.0032254001,0,0,0,0
"Norway",6.0100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,3.3900001,2.9100001,1.09,0,0.40000001,0,21.1,0,0,0,0,0,4.02,8.6599998,0,4,0,0,0,0,0,0,0,0
"Denmark",26.709999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.709999,4.3699999,2.5599999,3.79,0,0,0,55.310001,0,0,0,0,0,17.16,18.4,18.4,0,0,0,0,0.0010162001,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8899999,0,0.62,5.8800001,0,0.31,0,0.95999998,0.20999999,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3199999,0,0,0.95999998,0,0,0,1.17,1.59,0.16,0,0,0,0.94999999,0,0,0,0,0,0,0.69999999,1.0599999,0,0,0
"Turkey",1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.549999,2.6300001,4.3499999,11.79,0,0.0006186,0,5.8499999,28.790001,10.8,0,2.47,3.51,8.04,0.31,0,0.00017670001,0,0,3.24,0,0,0,0.0091901002,0
"China",43.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.489998,1.0700001,8.1499996,2.79,0,0,0,3.6600001,0,0.63,0,0,0,1.47,0,0,0,0,0,23.690001,0,0,1.28,25.66,0.18000001
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
"Japan",53.009998,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,58.650002,0.44,5.5900002,2.5899999,1.51,0,0,21.59,1.14,0.25,0,0,0,1.4,0,0,0,0,0,0,0.0010604,26.74,3.1199999,0,2.3299999
"Thailand",0.28999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92000002,0,0.079999998,0
