"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Somalia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3.5999999,0,0.80000001,0.095332302,0.0046676998,0.30000001,0.1,0,0,0,0,0,0.1,0,0,13.1,0.1,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0.89999998,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.89999998,0,0.40000001,0.69999999,0,0.1,0,0,0,0,0,0,0,0,0,0,0,3.2,0.69999999,0.1,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.1,0
"Ethiopia",13.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,15.3,2.4786401,0.1213598,5.5999999,1.6,0.2,0,0,0.1,0.80000001,1.9,0.89999998,2.8,31,0,0,1.3,0.5,0.1,0.30000001,0.1,2.5999999,0.1,1.5,0.5,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0.2,6.0999999,0,0.2,0.1,0.1,0.60000002,0,2.2,1.2,0,0,0,2.5999999,0,0,0,0.1,20.9,2.0999999,0.60000002,0,1,0,0,0.30000001,0,0,0,0,0,0.69999999,0,0,0.40000001,0
"Zambia",38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.40000001,0,0,0,0.60000002,0,76.199997,0.1,4.3000002,2.1926429,0.1073568,3.0999999,2,0.1,0.40000001,0,0,0.1,1.3,0,0.5,7.0999999,0.1,0,0.69999999,0,0,0,0,0,0.2,2.8,0.60000002,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,3.0999999,0,1.8,12.2,0,0,0,0,0,64.900002,0,84.599998,0,0,0,0,0,0,0,0,4.6999998,0,0,0,0,0,0,0.80000001,0.2,0,0,0,0.2,0,0,0,0,12.4,2.5,1.5,0,0.40000001,0,0,0.40000001,0,0,0,0,0.5,0.1,0,0,4.8000002,0.40000001
"Zimbabwe",8.3000002,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3999996,0,6.3000002,3.7179599,0.1820398,4.6999998,2.0899999,0,1.1,0,0,0,1.4299999,0,0,5.6999998,0,0,0,0,0,0,0,0,0,0.11,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73,0,0,0,0,0,0,0,7.6999998,0,2.4200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
"Malawi",2.6400001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.290001,0,0.40000001,0.28599691,0.0140031,0.60000002,0,0,0,0,0,0,0.2,0,0,0.69999999,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0.1,0,0,0,0,8.25,19.030001,0,6.0500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4.1799998,1.3200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4299999,0
"South Africa",401,70.699997,0,0,0,0,0,0,0.80000001,2.8,0,0.1,0,0,0,0.1,1.3,0,2.1199999,0.30000001,11.4,0,0.015,0,4.4000001,1.1,694.20001,0.40000001,67.900002,25.549061,1.25094,85.5,51.299999,6.6999998,3,0,0,0,12.2,0,0,77.099998,0,0,0,0.1,0,0,0,0,8.8000002,33.799999,10.9,7.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.30000001,0,1.2,13.7,0,0,0,0,0,0,0,45.5,0,1.3,0,0,0,0,0,0,0,0,0.1,45.299999,0,14.9,0,0,0,0,2.3,4.9000001,0,0,0,0,0,0,0,0.89999998,127.5,0.1,0.40000001,0,16.9,0,0,1.3,0,0,0,0,0,0,1.5,0,33.299999,11.4
"Lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",9.1000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2,0,3,1.620649,0.079350702,89.099998,0.40000001,0.1,0,0,0,0.2,0,0.1,0.40000001,2.7,0,0,0.1,0,0,0,0,0,0.1,0.60000002,0.5,0.60000002,0,0,0,2.9000001,0,0,0,0.2,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,1.1,1.6,0.60000002,0,0,3.4000001,0,0,0.2,0,0,0,0.30000001,1.2,0,0.30000001,0,0,0,0.2,0,0,3.5,0.5,0.1,0,0.1,0,0,0.2,0,0,0,0,0.30000001,0,0,0.2,0,0
"Morocco",56.799999,4.3000002,16.9,0,0.2,0,0,0,0.1,0.2,0,0,0,0,0,0.2,0,0.2,0.0099999998,0,1.1,0,0,0,0.1,0,15.4,0,13.5,7.4359212,0.36407959,186.5,4.1999998,8,6.4000001,0,1.9,5.6999998,1.4,1.8,4.3000002,15.6,0,0,2.2,0.30000001,0,1.1,5.5,16,2.4000001,8.5,1,1.3,0,0,0,0.2,0.2,0,0.1,5.5,0,0,0,0,0,0.1,1,0.1,0.69999999,0.2,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,6.1999998,0.2,0,0,0.2,0,0,0.1,0,0.30000001,0,0,2.9000001,0,0,0,16.4,0,10.8,0,0,3.0999999,0.5,1.8,0,0.30000001,0,0,0.1,0,0,0,0,3.2,0,0,0.40000001,0.1,0
"Algeria",61.299999,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.0080000004,0,0.40000001,0,9.8999996,0,6.6999998,4.194622,0.2053782,439,2.7,3.8,0,0,0.40000001,1.7,1,0,2.5,18.5,0,0,3.3,2.2,0,1.2,0.17,8,1.5,2.4000001,0.2,0.40000001,0,0,0.30000001,0.1,0.0099999998,0,0.1,6.0999999,0,0,0,0,0,0,0.60000002,0.1,0.30000001,0,0.1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4.5999999,0,4,0.2,0.89999998,0.60000002,0.1,0,1.7,0,0.30000001,0,0,0,0,0,0,4.5999999,0,0,0,0,15.5,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",41,1.4,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0.027000001,0,0,0,7.4000001,0,6.1999998,2.955302,0.14469831,86,1.8,1.3,0,0,1,2.5999999,2.2,0.69999999,3,20.4,0,0,5.3000002,1.1,0,1.3,5.4000001,9.6999998,1,1.4,0.5,2,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,1.7,0,0.80000001,0.30000001,5.1999998,0.1,0,0,0,0.1,0,0,0,0,0,0,1.7,0,0,0,0,0.30000001,4.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Libya",50.799999,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,62.200001,0.1,9.6999998,6.1012678,0.29873201,20.1,2.2,4.3000002,0,0,0.80000001,3.9000001,2.2,2.2,3.9000001,111.9,1.6,0,3.8,4.5,1,3.7,4.5999999,3.5999999,0.2,1.7,0.40000001,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0.2,0,0,0.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.5,0.1,6.5,0,0.1,0.1,0.30000001,0.1,2.2,1,10.1,0,0,0,0,1,0,7.9000001,0,2.7,0,0,12.7,1.2,0.2,0,2.7,0,0,0,0,0,0,0,0,0.1,0,0,0.69999999,0
"Sudan",16.9,0.30000001,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,46.299999,0,7.6999998,6.0059361,0.29406431,4.1999998,1.5,0.2,0.1,0,0.89999998,3,1.7,2.5999999,4.0999999,8.1999998,0.1,0,3,0.5,0.30000001,0.60000002,3.2,10.6,0.40000001,1.5,1,1.8,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0,0,2.8,2.3,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.60000002,8.5,0.30000001,1.9,0,0,0.40000001,0,0,0,12.7,0,0,0,0,17.799999,22.4,1.3,0.1,0.2,0,0,0,0,0,0,0,0.80000001,0.69999999,0,0,0.60000002,0.1
"Iran",172,2.4000001,4.3000002,0,1.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.30000001,0.1,0,0,0.60000002,1.3,0,117.1,0.1,27.9,19.92445,0.97554648,35.700001,19.4,0.60000002,0.69999999,0,2.7,9.3000002,13.1,4.4000001,7.5999999,48.599998,0,0,9.1999998,0.60000002,0.1,2.3,2.5999999,26.5,4.0999999,10.6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.1,0.5,0.1,0,0,0.30000001,0,0,0.1,0,1.2,0,0,0,0.80000001,0,0,0.1,0,0,0,1.9,0,1.1,2.8,0,7,0,0,6.0999999,0.5,11.1,0,7.4000001,0,1.1,74.300003,15.1,2.5999999,0,7,0,0,1.4,0,0,0,0,4.5999999,1,0,0,11.7,0.1
"Turkey",174.10001,2.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,2.2,0,0,0,0.30000001,0.2,79.400002,0.30000001,16,10.39122,0.50877792,43.700001,18.700001,1.8,2.0999999,0,11.3,9.8000002,10.9,14.4,11.5,54.299999,0,0,4.9000001,0.2,0.1,6.4000001,4.8000002,26.1,2.3,10.4,3,3.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0.30000001,0,0,0,0.2,0.1,0,0,0.69999999,0,0,0,0.40000001,0,0.89999998,2.2,0.1,0.2,0,16.9,1,0.1,1.5,0,7.5999999,15,0,0,0,0.1,0,0.1,0,0,15.8,0.89999998,1.4,0,0,0,0,0,0,0,0,0,1.2,0,0,1.3,8.8999996,0
"Iraq",48,0.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,1.7,0,0,0,0,0,66.900002,0.30000001,9.1999998,16.39716,0.80284208,10.4,8.6000004,0.89999998,1.7,0,3.0999999,17.200001,4.0999999,3.8,8.3000002,23.299999,0,0,3.4000001,2.2,0,4,5.8000002,25.6,1.9,13,1.8,3.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2.2,1,0.5,0,0,0.80000001,0.1,0,0.30000001,0,0.1,0,0,0,0.30000001,0,0,0,1,3.0999999,2.3,0,4.5999999,1,10,4.4000001,0,0.69999999,0,1,0,21.9,0,0.60000002,0,0,30.4,10.7,2.0999999,0.2,28.1,0,0,1.4,0,0,0,0,7.8000002,1.1,0,1.7,5,0
