"ID","Time","milper","irst"
"Argentina",1955-11-05 02:00:00,146.82,217.47
"Argentina",1956-11-05 02:00:00,149.05,203.02
"Argentina",1957-11-05 02:00:00,146.99,220.57
"Argentina",1958-11-05 02:00:00,144.72,245.02
"Argentina",1959-11-05 02:00:00,145.85,214.48
"Argentina",1960-11-05 02:00:00,128.95,276.74
"Argentina",1961-11-05 02:00:00,125.27,441.81
"Argentina",1962-11-05 02:00:00,131.41,644.59
"Argentina",1963-11-05 02:00:00,154.8,912.57
"Argentina",1964-11-05 02:00:00,155.93,1266.09
"Argentina",1965-11-05 02:00:00,154.29,1370.65
"Argentina",1966-11-05 02:00:00,158.7,1286.44
"Argentina",1967-11-05 02:00:00,160.88,1346.83
"Argentina",1968-11-05 02:00:00,161.2,1579.08
"Argentina",1969-11-05 02:00:00,158.83,1719.86
"Argentina",1970-11-05 02:00:00,140.76,1856.33
"Argentina",1971-11-05 02:00:00,140.87,1742.77
"Argentina",1972-11-05 02:00:00,139.27,1929.93
"Argentina",1973-11-05 02:00:00,160.63,1994.71
"Argentina",1974-11-05 02:00:00,148.91,2195.41
"Argentina",1975-11-05 02:00:00,159.48,2043.54
"Argentina",1976-11-05 02:00:00,155.02,2244.12
"Argentina",1977-11-05 02:00:00,155.66,2670.72
"Argentina",1978-11-05 02:00:00,154.27,2650.5
"Argentina",1979-11-05 02:00:00,155.85,3091.14
"Argentina",1980-11-05 02:00:00,154.6,2554.39
"Argentina",1981-11-05 02:00:00,155.41,2389.72
"Argentina",1982-11-05 02:00:00,173.96,2751.61
"Argentina",1983-11-05 02:00:00,173.74,2828.98
"Argentina",1984-11-05 02:00:00,175.16,2506.6
"Argentina",1985-11-05 02:00:00,130.04,2775.8
"Argentina",1986-11-05 02:00:00,103.9,3115.25
"Argentina",1987-11-05 02:00:00,116.9,3461.21
"Argentina",1988-11-05 02:00:00,95.56,3527.64
"Argentina",1989-11-05 02:00:00,94.75,3908.24
"Argentina",1990-11-05 02:00:00,87.21,3636.69
"Argentina",1991-11-05 02:00:00,69.26,2992.04
"Argentina",1992-11-05 02:00:00,65.45,2699.88
"Argentina",1993-11-05 02:00:00,65.11,2884.76
"Argentina",1994-11-05 02:00:00,67.98,3286.95
"Argentina",1995-11-05 02:00:00,65.92,3581.12
"Argentina",1996-11-05 02:00:00,63.89,4075.39
"Argentina",1997-11-05 02:00:00,64.46,4168.87
"Argentina",1998-11-05 02:00:00,73.56,4215.65
