"ID","Time","milper","irst"
"France",1899-11-05 01:39:49,654,2578
"France",1900-11-05 01:39:49,621,1565
"France",1901-11-05 01:39:49,603,1425
"France",1902-11-05 01:39:49,610,1568
"France",1903-11-05 01:39:49,614,1840
"France",1904-11-05 01:39:49,596,2096
"France",1905-11-05 01:39:49,626,2255
"France",1906-11-05 01:39:49,635,2451
"France",1907-11-05 01:39:49,619,2767
"France",1908-11-05 01:39:49,619,2723
"France",1909-11-05 01:39:49,641,3039
"France",1910-11-05 01:39:49,652,3413
"France",1911-11-05 01:39:49,638,3837
"France",1912-11-05 01:39:49,642,4429
"France",1913-11-05 01:39:49,632,4687
"Germany",1871-11-05 01:39:49,1000,1424
"Germany",1872-11-05 01:39:49,427,1828
"Germany",1873-11-05 01:39:49,426,1991
"Germany",1874-11-05 01:39:49,429,1666
"Germany",1875-11-05 01:39:49,428,1759
"Germany",1876-11-05 01:39:49,429,1615
"Germany",1877-11-05 01:39:49,429,1718
"Germany",1878-11-05 01:39:49,429,1899
"Germany",1879-11-05 01:39:49,430,1965
"Germany",1880-11-05 01:39:49,430,2468
"Germany",1881-11-05 01:39:49,456,2620
"Germany",1882-11-05 01:39:49,455,3004
"Germany",1883-11-05 01:39:49,457,3135
"Germany",1884-11-05 01:39:49,457,3235
"Germany",1885-11-05 01:39:49,459,3268
"Germany",1886-11-05 01:39:49,460,3128
"Germany",1887-11-05 01:39:49,503,3532
"Germany",1888-11-05 01:39:49,504,3813
"Germany",1889-11-05 01:39:49,504,3963
"Germany",1890-11-05 01:39:49,505,4100
"Germany",1891-11-05 01:39:49,524,4096
"Germany",1892-11-05 01:39:49,526,4351
"Germany",1893-11-05 01:39:49,601,4428
"Germany",1894-11-05 01:39:49,601,4700
"Germany",1895-11-05 01:39:49,602,4770
"Germany",1896-11-05 01:39:49,602,5564
"Germany",1897-11-05 01:39:49,604,6009
"Germany",1898-11-05 01:39:49,606,6367
"Germany",1899-11-05 01:39:49,619,7160
"Germany",1900-11-05 01:39:49,624,6461
"Germany",1901-11-05 01:39:49,630,6137
"Germany",1902-11-05 01:39:49,638,7466
"Germany",1903-11-05 01:39:49,636,8430
"Germany",1904-11-05 01:39:49,642,8564
"Germany",1905-11-05 01:39:49,648,9669
"Germany",1906-11-05 01:39:49,653,10700
"Germany",1907-11-05 01:39:49,658,11619
"Germany",1908-11-05 01:39:49,663,10726
"Germany",1909-11-05 01:39:49,667,11515
"Germany",1910-11-05 01:39:49,673,13100
"Germany",1911-11-05 01:39:49,677,14303
"Germany",1912-11-05 01:39:49,716,16355
"Germany",1913-11-05 01:39:49,859,17609
"Italy",1871-11-05 01:39:49,353,17
"Italy",1872-11-05 01:39:49,175,24
"Italy",1873-11-05 01:39:49,161,29
"Italy",1874-11-05 01:39:49,177,29
"Italy",1875-11-05 01:39:49,179,28
"Italy",1876-11-05 01:39:49,156,19
"Italy",1877-11-05 01:39:49,152,16
"Italy",1878-11-05 01:39:49,203,19
"Italy",1879-11-05 01:39:49,167,12
"Italy",1880-11-05 01:39:49,167,17
"Italy",1881-11-05 01:39:49,167,28
"Italy",1882-11-05 01:39:49,162,25
"Italy",1883-11-05 01:39:49,163,24
"Italy",1884-11-05 01:39:49,223,18
"Italy",1885-11-05 01:39:49,226,16
"Italy",1886-11-05 01:39:49,227,12
"Italy",1887-11-05 01:39:49,230,12
"Italy",1888-11-05 01:39:49,237,12
"Italy",1889-11-05 01:39:49,256,13
"Italy",1890-11-05 01:39:49,257,14
"Italy",1891-11-05 01:39:49,265,12
"Italy",1892-11-05 01:39:49,241,13
"Italy",1893-11-05 01:39:49,264,8
"Italy",1894-11-05 01:39:49,250,10
"Italy",1895-11-05 01:39:49,229,9
"Italy",1896-11-05 01:39:49,226,7
"Italy",1897-11-05 01:39:49,247,8
"Italy",1898-11-05 01:39:49,318,12
"Italy",1899-11-05 01:39:49,264,19
"Italy",1900-11-05 01:39:49,262,116
"Italy",1901-11-05 01:39:49,262,129
"Italy",1902-11-05 01:39:49,276,135
"Italy",1903-11-05 01:39:49,270,187
"Italy",1904-11-05 01:39:49,263,201
"Italy",1905-11-05 01:39:49,266,270
"Italy",1906-11-05 01:39:49,267,391
"Italy",1907-11-05 01:39:49,219,430
"Italy",1908-11-05 01:39:49,227,537
"Italy",1909-11-05 01:39:49,251,662
"Italy",1910-11-05 01:39:49,252,732
"Italy",1911-11-05 01:39:49,291,736
"Italy",1912-11-05 01:39:49,398,918
"Italy",1913-11-05 01:39:49,288,934
"Russia",1871-11-05 01:39:49,765,359
"Russia",1872-11-05 01:39:49,826,400
"Russia",1873-11-05 01:39:49,826,380
