"ID","Time","milper","irst"
"Russia",2000-11-05 02:00:00,1003.07,59135.99
"Russia",2001-11-05 02:00:00,976.66,58968.6
"Russia",2002-11-05 02:00:00,989.55,59778.39
"Russia",2003-11-05 02:00:00,961.27,61450.52
"Russia",2004-11-05 02:00:00,999.3,65583.46
"Russia",2005-11-05 02:00:00,1036.68,66146.55
"Russia",2006-11-05 02:00:00,1028.44,70827.36
"Russia",2007-11-05 02:00:00,1028.01,72385.96
"Russia",2008-11-05 02:00:00,1025.28,68509.86
"Russia",2009-11-05 02:00:00,1027.3,60010.5
"Russia",2010-11-05 02:00:00,1026.18,66941.2
"Russia",2011-11-05 02:00:00,1044.8,68853.22
"Russia",2012-11-05 02:00:00,954.72,70208.11
"United.States.of.America",1955-11-05 02:00:00,2935.38,106173.74
"United.States.of.America",1956-11-05 02:00:00,2806.3,104521.49
"United.States.of.America",1957-11-05 02:00:00,2794.9,102251.36
"United.States.of.America",1958-11-05 02:00:00,2409.87,77342.92
"United.States.of.America",1959-11-05 02:00:00,2325.2,84771.73
"United.States.of.America",1960-11-05 02:00:00,2306.72,90067.74
"United.States.of.America",1961-11-05 02:00:00,2307.94,88916.22
"United.States.of.America",1962-11-05 02:00:00,2806.77,89202.51
"United.States.of.America",1963-11-05 02:00:00,2701.76,99118.51
"United.States.of.America",1964-11-05 02:00:00,2687.12,115280.68
"United.States.of.America",1965-11-05 02:00:00,2659.15,119259.76
"United.States.of.America",1966-11-05 02:00:00,3090.91,121656.62
"United.States.of.America",1967-11-05 02:00:00,3381.2,115404.88
"United.States.of.America",1968-11-05 02:00:00,3549.63,119262.23
"United.States.of.America",1969-11-05 02:00:00,3459.88,128152.32
"United.States.of.America",1970-11-05 02:00:00,3071.8,119309.37
"United.States.of.America",1971-11-05 02:00:00,2721.7,109265.88
"United.States.of.America",1972-11-05 02:00:00,2320.71,120873.23
"United.States.of.America",1973-11-05 02:00:00,2206.06,136803.67
"United.States.of.America",1974-11-05 02:00:00,2148.17,132193.74
"United.States.of.America",1975-11-05 02:00:00,2099.1,105897.29
"United.States.of.America",1976-11-05 02:00:00,2075.32,116121.97
"United.States.of.America",1977-11-05 02:00:00,2059.93,113701.87
"United.States.of.America",1978-11-05 02:00:00,2060.83,124315.38
"United.States.of.America",1979-11-05 02:00:00,2033.2,123687.19
"United.States.of.America",1980-11-05 02:00:00,2051.3,101455.49
"United.States.of.America",1981-11-05 02:00:00,2101.94,109612.2
"United.States.of.America",1982-11-05 02:00:00,2167.85,67656.04
"United.States.of.America",1983-11-05 02:00:00,2201.11,76764.64
"United.States.of.America",1984-11-05 02:00:00,2221.19,83938.38
"United.States.of.America",1985-11-05 02:00:00,2243.26,80066.07
"United.States.of.America",1986-11-05 02:00:00,2270.1,74032.63
"United.States.of.America",1987-11-05 02:00:00,2282.44,80876.76
"United.States.of.America",1988-11-05 02:00:00,2250.39,90630.49
"United.States.of.America",1989-11-05 02:00:00,2240.29,87723
"United.States.of.America",1990-11-05 02:00:00,2179.71,89725.62
"United.States.of.America",1991-11-05 02:00:00,2110.08,79737.52
"United.States.of.America",1992-11-05 02:00:00,1919.44,84322.25
"United.States.of.America",1993-11-05 02:00:00,1810.45,88791.84
"United.States.of.America",1994-11-05 02:00:00,1710.91,91243.56
"United.States.of.America",1995-11-05 02:00:00,1619.49,95189.28
"United.States.of.America",1996-11-05 02:00:00,1569.7,95536.73
"United.States.of.America",1997-11-05 02:00:00,1529.27,98485.09
"United.States.of.America",1998-11-05 02:00:00,1508.82,98658.07
"United.States.of.America",1999-11-05 02:00:00,1490.25,97427.64
"United.States.of.America",2000-11-05 02:00:00,1365.63,101803.21
"United.States.of.America",2001-11-05 02:00:00,1368.02,90104.86
"United.States.of.America",2002-11-05 02:00:00,1414.66,91587.14
"United.States.of.America",2003-11-05 02:00:00,1427.49,93676.77
"United.States.of.America",2004-11-05 02:00:00,1449.81,99680.68
"United.States.of.America",2005-11-05 02:00:00,1474.6,94896.95
"United.States.of.America",2006-11-05 02:00:00,1545.33,98556.76
"United.States.of.America",2007-11-05 02:00:00,1506.48,98101.66
"United.States.of.America",2008-11-05 02:00:00,1498.12,91349.24
"United.States.of.America",2009-11-05 02:00:00,1540.12,58195.14
"United.States.of.America",2010-11-05 02:00:00,1579.81,80494.47
"United.States.of.America",2011-11-05 02:00:00,1562.67,86397.21
"United.States.of.America",2012-11-05 02:00:00,1568.43,88695.95
